controller,n_monsters,arz_owners,AngerTolerance,AngerTolerance_slot,AttackedAnger,AttackedAnger_slot,AllyAttackedAnger,AllyAttackedAnger_slot,petAngerTransference,petAngerTransference_slot,ignorePetsChance,ignorePetsChance_slot,ignorePetsInterval,ignorePetsInterval_slot,RandomAngerChance,RandomAngerChance_slot,RandomAngerEvaluationTime,RandomAngerEvaluationTime_slot,ClearAngerWhenFleeing,ClearAngerWhenFleeing_slot,transference_fraction_t,pet_leg_anger,owner_leg_anger
records/controllers/enemy/controller_aetherialbloater.dbr,5,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_aetherialcolossus.dbr,4,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_aetherialcorruption.dbr,9,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_aetherialimp.dbr,3,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_avian.dbr,3,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_basilisk_melee.dbr,6,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_basilisk_ranged.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_boss_aetherialabomination.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,22,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.22,11.7,3.3
records/controllers/enemy/controller_boss_aetherialroguelike_reanimators.dbr,2,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,22,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.22,11.7,3.3
records/controllers/enemy/controller_boss_alkamos.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,15,+0x390,5000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_basiliskwitchritual.dbr,1,SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
