record,arz_owners,record_class,causes_anger,anger_multiplier,invincible,controller,monster_classification,threat_table_eligible,divertible,grade,source
records/sandbox/ben/hellhound_bysimel.dbr,database.arz,Pet,True,1.2000000476837158,False,records/controllers/pets/controller_hellhound_normal.dbr,Champion,True,True,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/sandbox/ben/hellhound_minion.dbr,database.arz,Pet,True,1.2000000476837158,False,records/controllers/pets/controller_hellhound_normal.dbr,Champion,True,True,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_01.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_02.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_03.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_04.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_05.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_06.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_07.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
records/skills/devotion/pets/pet_arcanecurrent_08.dbr,GDX1.arz,PetPlayerScaling,False,0.0,False,records/controllers/pets/controller_arcanecurrent.dbr,Champion,False,False,DECODED,ARZ field read; gate = ShouldRemoveEnemy@AngerManager 0x0000fff0 (+0x38 CausesAnger vslot 0x428)
