record_path,in_338_NO_DATA,pool_family,monster_classification,archive_winner,verdict,offense_attack_slots_upstream,offense_attack_slots_offense_bearing,offense_tree_skills_upstream,offense_tree_attack_skills,offense_damage_present,oa_da_present,swing_timing_present,n_attack_anim_weights,bio_record,bio_OA_equation,bio_DA_equation,n_unresolved_skill_refs,numAttackSlots_declared,caveat_edition_II_vs_III_CHANGED,caveat_merged_vs_winner_DIVERGENT
records/creatures/enemies/aetherialbloater_a01.dbr,True,normal,Common,sm1,CONFIRMED-PRESENT-NAMED-SKILL,2,2,6,2,True,True,True,24,records/creatures/enemies/bios/bio_aetherialbloater_a01.dbr,(charLevel*6)+35,(charLevel*5)+30,0,4,False,False
records/creatures/enemies/aetherialcorruption_b03.dbr,True,normal,Champion,sm1,CONFIRMED-PRESENT-NAMED-SKILL,2,1,6,1,True,True,True,24,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,(charLevel*6.2)+40,(charLevel*4.3)+25,0,4,False,False
records/creatures/enemies/aetherialimp_a01.dbr,True,normal,Common,sm1,CONFIRMED-PRESENT-NAMED-SKILL,1,1,4,1,True,True,True,24,records/creatures/enemies/bios/bio_aetherialimp_a01.dbr,(charLevel*6.8)+75,(charLevel*3.8)+15,0,4,False,False
records/creatures/enemies/aetherialimp_b01.dbr,True,normal,Champion,sm1,CONFIRMED-PRESENT-NAMED-SKILL,2,2,6,2,True,True,True,24,records/creatures/enemies/bios/bio_aetherialimp_b01.dbr,(charLevel*7)+75,(charLevel*4)+20,0,4,False,False
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,True,normal,Quest,sm_mod,CONFIRMED-PRESENT-NAMED-SKILL,6,6,12,4,True,True,True,24,records/creatures/enemies/bios/bio_boss_fleshhulk_01.dbr,(charLevel*7)+100,(charLevel*6.5)+50,0,8,False,False
records/creatures/enemies/boss&quest/aetherial_fleshweaverkrieg.dbr,True,normal,Quest,sm1,CONFIRMED-PRESENT-NAMED-SKILL,7,6,14,6,True,True,True,24,records/creatures/enemies/bios/bio_boss_aetherial_fleshweaverkrieg.dbr,(charLevel*7)+100,(charLevel*6.3)+50,0,8,False,False
records/creatures/enemies/boss&quest/aetherial_fleshweaverkriegb.dbr,True,normal,Quest,sm1,CONFIRMED-PRESENT-NAMED-SKILL,7,6,14,6,True,True,True,24,records/creatures/enemies/bios/bio_boss_aetherial_fleshweaverkrieg.dbr,(charLevel*7)+100,(charLevel*6.3)+50,0,8,False,False
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,True,normal,Quest,sm1,CONFIRMED-PRESENT-NAMED-SKILL,5,5,13,5,True,True,True,24,records/creatures/enemies/bios/bio_boss_aetherial_colossusgalakros.dbr,(charLevel*7.8)+100,(charLevel*7.0)+50,0,8,False,False
records/creatures/enemies/boss&quest/aetherialfleshshaper_haraxis.dbr,True,normal,Quest,sm1,CONFIRMED-PRESENT-NAMED-SKILL,5,4,14,5,True,True,True,24,records/creatures/enemies/bios/bio_boss_aetherial_fleshweaverharaxis.dbr,(charLevel*7)+100,(charLevel*6.3)+50,0,8,False,False
records/creatures/enemies/boss&quest/aetherialfleshshaper_hinissius.dbr,True,normal,Quest,sm1,CONFIRMED-PRESENT-NAMED-SKILL,4,3,12,3,True,True,True,24,records/creatures/enemies/bios/bio_boss_aetherial_fleshshaperhinissius.dbr,(charLevel*7)+100,(charLevel*6.3)+50,0,8,False,False
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,True,normal,Quest,sm2,CONFIRMED-PRESENT-NAMED-SKILL,5,5,13,5,True,True,True,24,records/creatures/enemies/bios/bio_boss_beetle_02.dbr,(charLevel*7)+100,(charLevel*6.3)+50,0,8,False,False
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,True,normal,Quest,sm1,CONFIRMED-PRESENT-NAMED-SKILL,7,7,13,7,True,True,True,24,records/creatures/enemies/bios/bio_boss_chthonian_ekketzul.dbr,(charLevel*7)+100,(charLevel*6.3)+50,0,8,False,False
records/creatures/enemies/boss&quest/chthoniantyrant_grulthunn.dbr,True,normal,Quest,sm3,CONFIRMED-PRESENT-NAMED-SKILL,4,4,11,4,True,True,True,24,records/creatures/enemies/bios/bio_boss_chthonian_grulthunn_01.dbr,(charLevel*7)+100,(charLevel*6.3)+50,0,8,False,False
