pack_name,pack_url,publisher,pack_price_usd,pack_license,asset_count_approx,geometry,timing,element,target_type,mixamo_rig_compatible,anchor_points,style_register,performance_tier,quality_rating,bc_axis_mapping,notes
RPG VFX Bundle,https://assetstore.unity.com/packages/vfx/particles/spells/rpg-vfx-bundle-133704,Hovl Studio,48,single-seat,unknown — large bundle,single-target/small-AOE/large-AOE/projectile/aura,instant/sustained/triggered,fire/lightning/neutral/dark,target-locked/aura/projectile,partial,"hands,weapon,body","stylized",mid,4.2 (51 reviews / 1714 favorites),Axis2:all-5-bins/Axis2B:damage-pure-to-mixed,"Keywords: Fire/Shield/Projectile/Lightning/RPG/Stylized/Fantasy. Compatible Built-in+URP+HDRP. Requires support package +$5. Hovl Studio flagship bundle. v6.0.2 Mar 2026. 90.3MB."
Fire & Spell Effects,https://assetstore.unity.com/packages/vfx/particles/fire-explosions/fire-spell-effects-36825,"Digital Ruby (Jeff Johnson)",0,single-seat,unknown,small-AOE/large-AOE/projectile/persistent-ground,instant/sustained,fire/physical/neutral,ground-aoe/projectile,partial,"ground,body",stylized,mid,4.5 (266 reviews / 3347 favorites),Axis2:small-AOE+large-AOE+projectile,"FREE. Keywords: flamethrower/meteor/swarm/burn/ring/wall/strike. Built-in+URP+HDRP. v1.0.3 May 2022. 26.5MB. Good free starter."
Magic Arsenal,https://assetstore.unity.com/packages/vfx/particles/spells/magic-arsenal-20869,Archanor VFX,30,single-seat,unknown,single-target/small-AOE/large-AOE/projectile/chain,instant/triggered,fire/lightning/neutral/arcane,projectile/target-locked/ground-aoe,partial,"hands,weapon",stylized,mid,4.3 (246 reviews / 3411 favorites),Axis2:single-target+small-AOE+large-AOE+chain,"Keywords: FX/particles/missile/explosion/fire/VFX/magic/spell/elemental. Built-in+URP only (no HDRP). v2.75 Dec 2024. 80.6MB."
Elemental Spells Full Pack VFX,https://assetstore.unity.com/packages/vfx/particles/spells/elemental-spells-full-pack-vfx-297318,PixPlays Studio,36,single-seat,24 spells,single-target/small-AOE/large-AOE/aura/projectile,instant/sustained/channel,fire/water/earth/wind,target-locked/ground-aoe/aura/projectile,partial,"hands,weapon,body",stylized,mid,3.8 (13 reviews / 288 favorites),Axis2:all-5-bins/Axis1:all-engagement,"24 spells: Water/Earth/Wind/Fire types. Shield/AOE/Projectile/Aura/Blast/Beam included. Built-in+URP. Dec 2025. 40.4MB. Strong element coverage for 4 core elements."
Magic Effects FREE,https://assetstore.unity.com/packages/vfx/particles/spells/magic-effects-free-247933,Hovl Studio,0,single-seat,unknown,small-AOE/projectile/aura,instant/sustained,neutral/arcane,target-locked/aura/projectile,partial,"hands,body",stylized,mid,4.4 (55 reviews / 3570 favorites),Axis2:small-AOE+projectile+aura,"FREE sampler from Hovl. Magic circles/explosions/sparks/portals/slashes/hits. Built-in+URP+HDRP. v1.6 Jun 2025. 36.4MB. Good free evaluation entry."
Action RPG FX,https://assetstore.unity.com/packages/vfx/particles/action-rpg-fx-38222,Archanor VFX,20,single-seat,unknown,small-AOE/large-AOE/projectile/persistent-ground,instant/triggered,neutral/arcane/physical,ground-aoe/projectile/target-locked,partial,"hands,weapon,ground",stylized,mid,4.0 (26 reviews / 883 favorites),Axis2:small-AOE+large-AOE+projectile,"Top-down ARPG specific design. Portal/loot/particle impacts. Built-in+URP. v2.02 Sep 2024. 89.2MB. Designed for isometric ARPG visual language."
Auras Buffs and Shields,https://assetstore.unity.com/packages/vfx/particles/auras-buffs-and-shields-233838,Piloto Studio,15,single-seat,unknown,aura/point,sustained,neutral/arcane,aura/self,partial,"body,head",stylized,mid,5.0 (5 reviews / 89 favorites),Axis4:tank-mitigator/Axis2B:mixed,"Aura/buff/shield status effects. Built-in+URP+HDRP. v1.3 Aug 2025. 22.9MB. Axis 4 defensive profile VFX + Axis 2B control-density status indicator."
Magic Auras Buffs and Shields VFX Pack,https://assetstore.unity.com/packages/vfx/particles/spells/magic-auras-buffs-and-shields-vfx-pack-314008,Piloto Studio,25,single-seat,unknown,aura/point,sustained,fire/water/neutral/arcane,aura/self,partial,"body,head",stylized,mid,3.0 (not enough ratings / 18 favorites),Axis4:all-defensive/Axis2B:mixed,"Aura/buff/shield/status effects. Keywords: fire/water/aura/shield/looping/buff/debuff. Built-in+URP+HDRP. Aug 2025. 68.4MB. Larger than sibling pack."
Magic Buffs and Auras VFX,https://assetstore.unity.com/packages/vfx/particles/spells/magic-buffs-and-auras-vfx-315384,Piloto Studio,15,single-seat,unknown,aura/point,sustained,fire/water/neutral,aura/self,partial,"body,head",stylized,mid,3.0 (not enough ratings / 24 favorites),Axis4:mitigator/Axis2B:mixed,"Keywords: fire/water/aura/shield/looping/buff/debuff. Built-in+URP+HDRP. Aug 2025. 47.8MB. Third Piloto buff/aura pack."
Aura and Ground Effects,https://assetstore.unity.com/packages/vfx/particles/spells/aura-and-ground-effects-107874,SineVFX,20,single-seat,unknown,aura/persistent-ground,sustained/DOT,neutral/arcane,aura/ground-aoe,partial,"body,ground",stylized,mid,4.0 (13 reviews / 1391 favorites),Axis4:tank-mitigator/Axis2:large-AOE,"Aura + persistent ground effects. Built-in ONLY (no URP/HDRP). v1.0a Oct 2024. 25.3MB. Pipeline limitation: Built-in only constrains URP projects."
