2026-05-22 06:26:25,012 [INFO] Track N — Modern Military crawl starting
2026-05-22 06:26:25,012 [INFO] DB: /Users/admin/Games/reincarnated-loadout/data/telemetry.db
2026-05-22 06:26:25,012 [INFO] UA: reincarnated-engine/0.1 (research; mhwetmore@gmail.com)
2026-05-22 06:26:25,265 [INFO] Pre-crawl weapon_knowledge_entries count: 177200
2026-05-22 06:26:25,265 [INFO] === ODIN crawl starting ===
2026-05-22 06:26:27,100 [INFO] ODIN total WegCard items: 3998
2026-05-22 06:26:27,184 [INFO] ODIN offset=0: fetched=200, inserted=200, dup=0
2026-05-22 06:26:29,597 [INFO] ODIN offset=200: fetched=200, inserted=400, dup=0
2026-05-22 06:26:31,996 [INFO] ODIN offset=400: fetched=200, inserted=600, dup=0
2026-05-22 06:26:34,583 [INFO] ODIN offset=600: fetched=200, inserted=800, dup=0
2026-05-22 06:26:36,661 [INFO] ODIN offset=800: fetched=200, inserted=1000, dup=0
2026-05-22 06:26:38,852 [INFO] ODIN offset=1000: fetched=200, inserted=1200, dup=0
2026-05-22 06:26:41,482 [INFO] ODIN offset=1200: fetched=200, inserted=1400, dup=0
2026-05-22 06:26:43,604 [INFO] ODIN offset=1400: fetched=200, inserted=1600, dup=0
2026-05-22 06:26:46,085 [INFO] ODIN offset=1600: fetched=200, inserted=1800, dup=0
2026-05-22 06:26:48,588 [INFO] ODIN offset=1800: fetched=200, inserted=2000, dup=0
2026-05-22 06:26:51,420 [INFO] ODIN offset=2000: fetched=200, inserted=2200, dup=0
2026-05-22 06:26:53,950 [INFO] ODIN offset=2200: fetched=200, inserted=2400, dup=0
2026-05-22 06:26:56,717 [INFO] ODIN offset=2400: fetched=200, inserted=2600, dup=0
2026-05-22 06:26:59,215 [INFO] ODIN offset=2600: fetched=200, inserted=2800, dup=0
2026-05-22 06:27:02,632 [INFO] ODIN offset=2800: fetched=200, inserted=3000, dup=0
2026-05-22 06:27:06,459 [INFO] ODIN offset=3000: fetched=200, inserted=3200, dup=0
2026-05-22 06:27:09,304 [INFO] ODIN offset=3200: fetched=200, inserted=3400, dup=0
2026-05-22 06:27:11,808 [INFO] ODIN offset=3400: fetched=200, inserted=3600, dup=0
2026-05-22 06:27:14,997 [INFO] ODIN offset=3600: fetched=200, inserted=3800, dup=0
2026-05-22 06:27:17,805 [INFO] ODIN offset=3800: fetched=198, inserted=3998, dup=0
2026-05-22 06:27:17,805 [INFO] ODIN: reached end of corpus (3998 items)
2026-05-22 06:27:17,805 [INFO] ODIN crawl complete: {'total_fetched': 3998, 'inserted': 3998, 'duplicate': 0, 'errors': 0, 'images_inserted': 11141}
2026-05-22 06:27:17,806 [INFO] === Army Recognition crawl starting ===
2026-05-22 06:27:19,063 [INFO] AR category /military-products/army/weapons/assault-rifles page 0: found 12 links (+12 new)
2026-05-22 06:27:33,577 [INFO] AR category /military-products/army/weapons/machine-guns page 0: found 10 links (+10 new)
2026-05-22 06:27:46,059 [INFO] AR category /military-products/army/weapons/pistols page 0: found 9 links (+9 new)
2026-05-22 06:27:58,354 [INFO] AR category /military-products/army/weapons/sniper-rifles page 0: found 4 links (+4 new)
2026-05-22 06:28:11,192 [INFO] AR category /military-products/army/weapons/sub-machine-guns page 0: found 3 links (+3 new)
2026-05-22 06:28:24,464 [INFO] AR category /military-products/army/weapons/grenade-launchers page 0: found 2 links (+2 new)
2026-05-22 06:28:41,229 [INFO] AR category /military-products/army/weapons/field-equipment page 0: found 12 links (+12 new)
2026-05-22 06:28:54,846 [INFO] AR category /military-products/army/weapons/turret page 0: found 10 links (+10 new)
2026-05-22 06:29:07,239 [INFO] AR: collected 62 unique article URLs
2026-05-22 06:29:08,549 [INFO] AR article: AK-12 Kalashnikov | inserted=True
2026-05-22 06:29:15,902 [INFO] AR article: CZ 805 BREN A1/ A2 | inserted=True
2026-05-22 06:29:23,020 [INFO] AR article: CZ S 805 | inserted=True
2026-05-22 06:29:28,933 [INFO] AR article: CZ S 805 (FR) | inserted=True
2026-05-22 06:29:35,531 [INFO] AR article: FAL FN (FR) | inserted=True
2026-05-22 06:29:42,589 [INFO] AR article: FAMAS (FR) | inserted=True
2026-05-22 06:29:49,650 [INFO] AR article: FN SCAR® L MK2 5.56mm assault rifle. | inserted=True
2026-05-22 06:29:56,834 [INFO] AR article: M16 M16A1 (FR) | inserted=True
2026-05-22 06:30:03,386 [INFO] AR article: M4 Colt Commando (FR) | inserted=True
2026-05-22 06:30:09,678 [INFO] AR article: MA Kalashnikov 5.45mm | inserted=True
2026-05-22 06:30:16,331 [INFO] AR article: SA80 L85A1 (FR) | inserted=True
2026-05-22 06:30:21,856 [INFO] AR article: M7 NGSW-R MCX Spear | inserted=True
2026-05-22 06:30:28,312 [INFO] AR article: Active Cooling Vest | inserted=True
2026-05-22 06:30:36,320 [INFO] AR article: AN/PSQ-20A | inserted=True
2026-05-22 06:30:43,953 [INFO] AR article: AN/PSQ-36 | inserted=True
2026-05-22 06:30:51,023 [INFO] AR article: AN/PVS-23 F5050 | inserted=True
2026-05-22 06:30:57,141 [INFO] AR article: AN/PVS-7D F5001 | inserted=True
2026-05-22 06:31:04,766 [INFO] AR article: AP4C Range | inserted=True
2026-05-22 06:31:10,906 [INFO] AR article: Boomerang Warrior-X | inserted=True
2026-05-22 06:31:17,408 [INFO] AR article: Bose headset | inserted=True
2026-05-22 06:31:24,025 [INFO] AR article: Dell Latitude E6400 XFR (FR) | inserted=True
2026-05-22 06:31:30,669 [INFO] AR article: Dell E6400 XFR | inserted=True
2026-05-22 06:31:37,530 [INFO] AR article: Fastnet Radio | inserted=True
2026-05-22 06:31:43,621 [INFO] AR article: Aimpoint FCS12 | inserted=True
2026-05-22 06:31:49,271 [INFO] AR article: AGS-30 | inserted=True
2026-05-22 06:31:54,981 [INFO] AR article: XM25 | inserted=True
2026-05-22 06:32:00,784 [INFO] AR article: AA-52 (FR) | inserted=True
2026-05-22 06:32:06,609 [INFO] AR article: Dillon Aero M134D | inserted=True
2026-05-22 06:32:13,782 [INFO] AR article: M249 Minimi SAW (FR) | inserted=True
2026-05-22 06:32:19,561 [INFO] AR article: M60E4 MK43 (FR) | inserted=True
2026-05-22 06:32:25,399 [INFO] AR article: MAG FN Herstal 7.62mm Caliber Machine gun. | inserted=True
2026-05-22 06:32:31,101 [INFO] AR article: MAG FN (FR) | inserted=True
2026-05-22 06:32:37,030 [INFO] AR article: Minimi FN Herstal (FR) | inserted=True
2026-05-22 06:32:43,436 [INFO] AR article: Pecheneg Pecheneg-N 6P41 | inserted=True
2026-05-22 06:32:49,356 [INFO] AR article: RPK-16 | inserted=True
2026-05-22 06:32:55,283 [INFO] AR article: M250 NGSW-AR SIG MG 6.8mm automatic rifle light ma | inserted=True
2026-05-22 06:33:01,053 [INFO] AR article: Astra pistolets (FR) | inserted=True
2026-05-22 06:33:06,980 [INFO] AR article: Automag pistolets automatiques (FR) | inserted=True
2026-05-22 06:33:12,961 [INFO] AR article: Ceska Zbrojovka pistolets (FR) | inserted=True
2026-05-22 06:33:18,719 [INFO] AR article: CZ 75 SP-01 PHANTOM 9mm | inserted=True
2026-05-22 06:33:24,742 [INFO] AR article: CZ P-07 | inserted=True
2026-05-22 06:33:30,689 [INFO] AR article: Auto-Ordnance pistolets (FR) | inserted=True
2026-05-22 06:33:36,871 [INFO] AR article: FN 509 9mm. | inserted=True
2026-05-22 06:33:43,054 [INFO] AR article: PL-15 | inserted=True
