global_wave,tier,tier_wave,spawn_points,ambush_points,archives,raw_min,raw_max,raw_E,glad_adj_min,glad_adj_max,glad_adj_E,n_trash,n_boss,n_hero,n_devotion,n_bounty,nemesis_wave,aspirant_E,challenger_E,gladiator_E
1,1,1,3,0,sm_mod,15.0,15.0,15.0,21.6,18.0,19.8,6,0,0,0,0,False,15.0,15.0,15.0
2,1,2,2,0,sm_mod,8.0,10.0,9.0,12.0,12.0,12.1,4,0,0,0,0,False,9.0,9.0,9.0
3,1,3,4,0,sm_mod,16.0,20.0,18.0,24.0,24.0,24.0,4,0,0,0,0,False,18.0,18.0,18.0
4,1,4,3,1,sm_mod,13.0,18.0,14.67,19.2,21.0,19.43,9,0,0,0,0,False,17.33,14.67,14.67
5,1,5,3,0,sm_mod,9.0,10.0,10.0,13.2,12.0,13.1,2,0,3,0,0,False,13.5,10.0,10.0
6,1,6,3,1,sm_mod,19.0,20.0,19.75,26.4,23.0,25.0,4,0,0,0,0,False,19.75,19.75,19.75
7,1,7,4,0,sm_mod,11.0,15.0,13.5,16.8,18.0,18.0,4,0,3,0,0,False,17.75,13.5,13.5
8,1,8,2,0,sm_mod,8.0,14.0,9.62,12.0,16.0,12.73,4,0,0,0,0,False,9.62,9.62,9.62
9,1,9,3,0,sm_mod,10.0,17.0,13.75,15.6,20.0,18.25,6,0,0,0,0,False,15.5,13.75,13.75
10,1,10,4,0,sm_mod,14.0,16.0,15.5,19.0,18.0,19.0,2,2,3,0,0,False,19.75,15.5,15.5
11,2,1,5,0,sm_mod,22.0,27.0,25.0,32.4,32.0,32.8,7,0,0,0,0,False,25.0,25.0,25.0
12,2,2,3,0,sm_mod,9.0,13.0,11.5,13.2,15.0,14.6,2,0,2,0,0,False,14.5,11.5,11.5
13,2,3,3,1,sm_mod,14.0,15.0,15.0,19.2,17.0,18.6,2,0,1,0,0,False,15.0,15.0,15.0
14,2,4,3,1,sm_mod,19.0,19.0,19.0,26.4,22.0,24.2,3,0,0,0,0,False,19.0,19.0,19.0
15,2,5,4,0,sm_mod,17.0,18.0,18.0,24.0,21.0,23.0,1,2,2,0,0,False,16.5,18.0,18.0
16,2,6,4,0,sm_mod,16.0,22.0,18.5,24.0,26.0,24.5,6,0,0,0,0,False,18.5,18.5,18.5
17,2,7,5,1,sm_mod,19.0,21.0,20.5,28.8,26.0,28.0,7,0,0,0,0,False,20.5,20.5,20.5
18,2,8,4,0,sm_mod,17.0,21.0,19.33,22.6,24.0,23.57,2,3,3,0,0,False,19.0,19.33,19.33
