wave,tier,difficulty,characterLifeModifier,characterOffensiveAbility,characterOffensiveAbilityModifier,characterDefensiveAbility,characterDefensiveAbilityModifier,characterAttackSpeedModifier,characterSpellCastSpeedModifier,characterLifeRegenModifier,characterPercentHealIncreaseModifier
1,1,aspirant,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
2,1,aspirant,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
3,1,aspirant,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
4,1,aspirant,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
5,1,aspirant,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
6,1,aspirant,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
7,1,aspirant,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
8,1,aspirant,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
9,1,aspirant,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
10,1,aspirant,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
11,2,aspirant,13.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
12,2,aspirant,14.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
13,2,aspirant,14.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
14,2,aspirant,16.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
15,2,aspirant,16.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
16,2,aspirant,18.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
17,2,aspirant,18.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
18,2,aspirant,18.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,-25.0
19,2,aspirant,19.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
20,2,aspirant,20.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
21,3,aspirant,20.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
22,3,aspirant,21.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
23,3,aspirant,21.0,11.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
24,3,aspirant,23.0,11.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
25,3,aspirant,23.0,11.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
26,3,aspirant,24.0,11.0,0.0,2.0,0.0,2.0,2.0,0.0,-25.0
27,3,aspirant,24.0,14.0,0.0,3.0,0.0,2.0,2.0,0.0,-25.0
28,3,aspirant,26.0,14.0,0.0,3.0,0.0,2.0,2.0,0.0,-25.0
29,3,aspirant,26.0,14.0,0.0,3.0,0.0,2.0,2.0,0.0,-25.0
30,3,aspirant,27.0,14.0,0.0,3.0,0.0,2.0,2.0,0.0,-25.0
31,4,aspirant,27.0,16.0,0.0,4.0,0.0,2.0,2.0,1.0,-25.0
32,4,aspirant,28.0,16.0,0.0,4.0,0.0,2.0,2.0,1.0,-25.0
33,4,aspirant,28.0,16.0,0.0,4.0,0.0,2.0,2.0,1.0,-25.0
34,4,aspirant,29.0,16.0,0.699999988079071,4.0,1.0,2.0,2.0,1.0,-25.0
35,4,aspirant,29.0,16.0,0.699999988079071,4.0,1.0,2.0,2.0,1.0,-25.0
36,4,aspirant,30.0,16.0,0.699999988079071,4.0,1.0,2.0,2.0,1.0,-25.0
37,4,aspirant,30.0,16.0,0.699999988079071,4.0,1.0,2.0,2.0,1.0,-25.0
38,4,aspirant,32.0,17.0,0.699999988079071,5.0,1.0,2.0,2.0,1.0,-25.0
39,4,aspirant,32.0,17.0,0.699999988079071,5.0,1.0,2.0,2.0,1.0,-25.0
40,4,aspirant,33.0,17.0,0.699999988079071,5.0,1.0,2.0,2.0,1.0,-25.0
41,5,aspirant,33.0,17.0,0.699999988079071,5.0,1.0,2.0,2.0,1.0,-25.0
42,5,aspirant,34.0,17.0,0.699999988079071,5.0,1.0,2.0,2.0,2.0,-25.0
43,5,aspirant,34.0,17.0,0.699999988079071,5.0,1.0,2.0,2.0,2.0,-25.0
44,5,aspirant,34.0,18.0,0.699999988079071,6.0,1.0,2.0,2.0,2.0,-25.0
45,5,aspirant,34.0,18.0,0.699999988079071,6.0,1.0,2.0,2.0,2.0,-25.0
46,5,aspirant,35.0,18.0,0.699999988079071,6.0,1.0,2.0,2.0,2.0,-25.0
47,5,aspirant,35.0,18.0,0.699999988079071,6.0,1.0,2.0,2.0,2.0,-25.0
48,5,aspirant,35.0,18.0,0.699999988079071,7.0,1.0,2.0,2.0,2.0,-25.0
49,5,aspirant,36.0,18.0,0.699999988079071,7.0,1.0,2.0,2.0,2.0,-25.0
50,5,aspirant,36.0,18.0,0.699999988079071,7.0,1.0,2.0,2.0,2.0,-25.0
51,6,aspirant,36.0,18.0,0.699999988079071,7.0,1.0,2.0,2.0,3.0,-26.0
52,6,aspirant,37.0,18.0,0.699999988079071,7.0,1.0,2.0,2.0,3.0,-26.0
53,6,aspirant,37.0,18.0,0.699999988079071,8.0,1.0,2.0,2.0,3.0,-26.0
54,6,aspirant,37.0,18.0,0.699999988079071,8.0,1.0,2.0,2.0,3.0,-27.0
55,6,aspirant,37.0,18.0,0.699999988079071,8.0,1.0,3.0,3.0,3.0,-27.0
56,6,aspirant,37.0,18.0,0.699999988079071,8.0,1.0,3.0,3.0,4.0,-27.0
57,6,aspirant,37.0,18.0,0.699999988079071,8.0,1.0,3.0,3.0,4.0,-28.0
58,6,aspirant,37.0,18.0,0.699999988079071,8.0,1.0,3.0,3.0,4.0,-28.0
59,6,aspirant,38.0,19.0,0.699999988079071,9.0,1.0,3.0,3.0,4.0,-28.0
60,6,aspirant,38.0,19.0,0.699999988079071,9.0,1.0,3.0,3.0,4.0,-29.0
61,7,aspirant,38.0,19.0,0.699999988079071,10.0,1.0,3.0,3.0,4.0,-29.0
62,7,aspirant,38.0,19.0,0.699999988079071,10.0,1.0,3.0,3.0,5.0,-29.0
63,7,aspirant,39.0,19.0,0.699999988079071,10.0,1.0,3.0,3.0,5.0,-30.0
64,7,aspirant,39.0,19.0,0.699999988079071,10.0,1.0,3.0,3.0,5.0,-30.0
65,7,aspirant,39.0,19.0,1.399999976158142,10.0,2.0,3.0,3.0,5.0,-30.0
66,7,aspirant,40.0,20.0,1.399999976158142,11.0,2.0,4.0,4.0,6.0,-31.0
67,7,aspirant,40.0,20.0,1.399999976158142,11.0,2.0,4.0,4.0,6.0,-31.0
68,7,aspirant,40.0,20.0,1.399999976158142,11.0,2.0,4.0,4.0,6.0,-31.0
69,7,aspirant,40.0,20.0,1.399999976158142,11.0,2.0,4.0,4.0,6.0,-32.0
70,7,aspirant,40.0,20.0,1.399999976158142,11.0,2.0,4.0,4.0,7.0,-32.0
71,8,aspirant,41.0,21.0,1.399999976158142,12.0,2.0,4.0,4.0,7.0,-32.0
72,8,aspirant,41.0,21.0,1.399999976158142,12.0,2.0,4.0,4.0,7.0,-33.0
73,8,aspirant,41.0,21.0,1.399999976158142,12.0,2.0,4.0,4.0,8.0,-33.0
74,8,aspirant,42.0,22.0,1.399999976158142,13.0,2.0,4.0,4.0,8.0,-33.0
75,8,aspirant,42.0,22.0,1.399999976158142,13.0,2.0,4.0,4.0,8.0,-35.0
76,8,aspirant,42.0,22.0,1.399999976158142,13.0,2.0,4.0,4.0,9.0,-35.0
