global_wave,tier,tier_wave,spawn_point,proxy_class,proxy_record,proxy_archive,legendary_override,pool_record,pool_archive,pool_weight,pool_kind,spawn_min,spawn_max,champion_chance,champion_min,champion_max,roster_n,champ_roster_n,roster_names,roster_records,champ_names,champ_records,ignore_game_balance,igb_field_state,igb_provenance
1,1,1,1,Proxy,records/proxies/tier01waves/proxy_w01_p01a.dbr,sm_mod,False,records/proxies/poolsbasic/zombies_t1.dbr,sm_mod,100.0,trash,5.0,5.0,0.0,0.0,0.0,15,0,Walking Dead | Fleshwarped Butcher | Fleshwarped Thrasher | Burning Dead | Walking Dead | Plague Walker | Wretcher | Fury | Cold One | Night Terror | Burning Dead | Plague Walker | Rotting Soldier | Rotting Emberguard | Fury Soldier,records/creatures/enemies/zombieberserker_a01.dbr | records/creatures/enemies/zombiemutated_a01.dbr | records/creatures/enemies/zombiemutated_b01.dbr | records/creatures/enemies/zombievoid_a01.dbr | records/creatures/enemies/zombie_a01.dbr | records/creatures/enemies/zombie_aetherfire01.dbr | records/creatures/enemies/zombie_b01_lowresist.dbr | records/creatures/enemies/zombie_c01.dbr | records/creatures/enemies/zombie_d01.dbr | records/creatures/enemies/zombie_e01.dbr | records/creatures/enemies/zombie_f01.dbr | records/creatures/enemies/zombie_g01.dbr | records/creatures/enemies/zombie_soldiera01.dbr | records/creatures/enemies/zombie_soldierfirea01.dbr | records/creatures/enemies/zombie_soldierfurya01_summon.dbr,,,False,PRESENT,DB-CITED
1,1,1,1,Proxy,records/proxies/tier01waves/proxy_w01_p01a.dbr,sm_mod,False,records/proxies/poolsbasic/bonerat_t1.dbr,sm_mod,50.0,trash,5.0,5.0,0.0,0.0,0.0,7,0,Boneback Gnasher | Rabid Boneback | Boneback Plaguebearer | Boneback | Scavenger | Frenzied Scavenger | Scavenger Alpha,records/creatures/enemies/bonerat_meleea01.dbr | records/creatures/enemies/bonerat_meleeb01.dbr | records/creatures/enemies/bonerat_meleeb02.dbr | records/creatures/enemies/bonerat_rangeda01.dbr | records/creatures/enemies/scavenger_a01.dbr | records/creatures/enemies/scavenger_b01.dbr | records/creatures/enemies/scavenger_c01.dbr,,,False,PRESENT,DB-CITED
1,1,1,2,Proxy,records/proxies/tier01waves/proxy_w01_p02a.dbr,sm_mod,False,records/proxies/poolsbasic/zombies_t1.dbr,sm_mod,100.0,trash,5.0,5.0,0.0,0.0,0.0,15,0,Walking Dead | Fleshwarped Butcher | Fleshwarped Thrasher | Burning Dead | Walking Dead | Plague Walker | Wretcher | Fury | Cold One | Night Terror | Burning Dead | Plague Walker | Rotting Soldier | Rotting Emberguard | Fury Soldier,records/creatures/enemies/zombieberserker_a01.dbr | records/creatures/enemies/zombiemutated_a01.dbr | records/creatures/enemies/zombiemutated_b01.dbr | records/creatures/enemies/zombievoid_a01.dbr | records/creatures/enemies/zombie_a01.dbr | records/creatures/enemies/zombie_aetherfire01.dbr | records/creatures/enemies/zombie_b01_lowresist.dbr | records/creatures/enemies/zombie_c01.dbr | records/creatures/enemies/zombie_d01.dbr | records/creatures/enemies/zombie_e01.dbr | records/creatures/enemies/zombie_f01.dbr | records/creatures/enemies/zombie_g01.dbr | records/creatures/enemies/zombie_soldiera01.dbr | records/creatures/enemies/zombie_soldierfirea01.dbr | records/creatures/enemies/zombie_soldierfurya01_summon.dbr,,,False,PRESENT,DB-CITED
1,1,1,2,Proxy,records/proxies/tier01waves/proxy_w01_p02a.dbr,sm_mod,False,records/proxies/poolsbasic/bonerat_t1.dbr,sm_mod,50.0,trash,5.0,5.0,0.0,0.0,0.0,7,0,Boneback Gnasher | Rabid Boneback | Boneback Plaguebearer | Boneback | Scavenger | Frenzied Scavenger | Scavenger Alpha,records/creatures/enemies/bonerat_meleea01.dbr | records/creatures/enemies/bonerat_meleeb01.dbr | records/creatures/enemies/bonerat_meleeb02.dbr | records/creatures/enemies/bonerat_rangeda01.dbr | records/creatures/enemies/scavenger_a01.dbr | records/creatures/enemies/scavenger_b01.dbr | records/creatures/enemies/scavenger_c01.dbr,,,False,PRESENT,DB-CITED
1,1,1,6,Proxy,records/proxies/tier01waves/proxy_w01_p06a.dbr,sm_mod,False,records/proxies/poolsbasic/zombies_t1.dbr,sm_mod,100.0,trash,5.0,5.0,0.0,0.0,0.0,15,0,Walking Dead | Fleshwarped Butcher | Fleshwarped Thrasher | Burning Dead | Walking Dead | Plague Walker | Wretcher | Fury | Cold One | Night Terror | Burning Dead | Plague Walker | Rotting Soldier | Rotting Emberguard | Fury Soldier,records/creatures/enemies/zombieberserker_a01.dbr | records/creatures/enemies/zombiemutated_a01.dbr | records/creatures/enemies/zombiemutated_b01.dbr | records/creatures/enemies/zombievoid_a01.dbr | records/creatures/enemies/zombie_a01.dbr | records/creatures/enemies/zombie_aetherfire01.dbr | records/creatures/enemies/zombie_b01_lowresist.dbr | records/creatures/enemies/zombie_c01.dbr | records/creatures/enemies/zombie_d01.dbr | records/creatures/enemies/zombie_e01.dbr | records/creatures/enemies/zombie_f01.dbr | records/creatures/enemies/zombie_g01.dbr | records/creatures/enemies/zombie_soldiera01.dbr | records/creatures/enemies/zombie_soldierfirea01.dbr | records/creatures/enemies/zombie_soldierfurya01_summon.dbr,,,False,PRESENT,DB-CITED
1,1,1,6,Proxy,records/proxies/tier01waves/proxy_w01_p06a.dbr,sm_mod,False,records/proxies/poolsbasic/bonerat_t1.dbr,sm_mod,50.0,trash,5.0,5.0,0.0,0.0,0.0,7,0,Boneback Gnasher | Rabid Boneback | Boneback Plaguebearer | Boneback | Scavenger | Frenzied Scavenger | Scavenger Alpha,records/creatures/enemies/bonerat_meleea01.dbr | records/creatures/enemies/bonerat_meleeb01.dbr | records/creatures/enemies/bonerat_meleeb02.dbr | records/creatures/enemies/bonerat_rangeda01.dbr | records/creatures/enemies/scavenger_a01.dbr | records/creatures/enemies/scavenger_b01.dbr | records/creatures/enemies/scavenger_c01.dbr,,,False,PRESENT,DB-CITED
2,1,2,2,Proxy,records/proxies/tier01waves/proxy_w02_p02a.dbr,sm_mod,False,records/proxies/poolsbasic/groble_a_t1.dbr,sm_mod,100.0,trash,4.0,4.0,0.0,0.0,0.0,6,0,Groble ~ Snake Clan Warrior | Groble ~ Snake Clan Tracker | Groble ~ Snake Clan Champion | Groble ~ Snake Clan Scavenger | Groble ~ Snake Clan Witchdoctor | Groble ~ Snake Clan Venomancer,records/creatures/enemies/groblea_warrior_a01.dbr | records/creatures/enemies/groblea_ranged_a01.dbr | records/creatures/enemies/groblea_warrior_b01.dbr | records/creatures/enemies/groblea_scavenger_a01.dbr | records/creatures/enemies/groblea_shaman_a01.dbr | records/creatures/enemies/groblea_shaman_b01.dbr,,,False,PRESENT,DB-CITED
2,1,2,2,Proxy,records/proxies/tier01waves/proxy_w02_p02a.dbr,sm_mod,False,records/proxies/poolsbasic/prawn_t1.dbr,sm_mod,100.0,trash,5.0,5.0,0.0,0.0,0.0,5,0,Scrapheap Rift Scourge | Acidbile Rift Scourge | Stormscale Rift Scourge | Bladespine Rift Scourge | Infested Rift Scourge,records/creatures/enemies/prawn_a01.dbr | records/creatures/enemies/prawn_a02.dbr | records/creatures/enemies/prawn_b01.dbr | records/creatures/enemies/prawn_b02.dbr | records/creatures/enemies/prawn_c01.dbr,,,False,PRESENT,DB-CITED
2,1,2,3,Proxy,records/proxies/tier01waves/proxy_w02_p03a.dbr,sm_mod,False,records/proxies/poolsbasic/groble_a_t1.dbr,sm_mod,100.0,trash,4.0,4.0,0.0,0.0,0.0,6,0,Groble ~ Snake Clan Warrior | Groble ~ Snake Clan Tracker | Groble ~ Snake Clan Champion | Groble ~ Snake Clan Scavenger | Groble ~ Snake Clan Witchdoctor | Groble ~ Snake Clan Venomancer,records/creatures/enemies/groblea_warrior_a01.dbr | records/creatures/enemies/groblea_ranged_a01.dbr | records/creatures/enemies/groblea_warrior_b01.dbr | records/creatures/enemies/groblea_scavenger_a01.dbr | records/creatures/enemies/groblea_shaman_a01.dbr | records/creatures/enemies/groblea_shaman_b01.dbr,,,False,PRESENT,DB-CITED
2,1,2,3,Proxy,records/proxies/tier01waves/proxy_w02_p03a.dbr,sm_mod,False,records/proxies/poolsbasic/prawn_t1.dbr,sm_mod,100.0,trash,5.0,5.0,0.0,0.0,0.0,5,0,Scrapheap Rift Scourge | Acidbile Rift Scourge | Stormscale Rift Scourge | Bladespine Rift Scourge | Infested Rift Scourge,records/creatures/enemies/prawn_a01.dbr | records/creatures/enemies/prawn_a02.dbr | records/creatures/enemies/prawn_b01.dbr | records/creatures/enemies/prawn_b02.dbr | records/creatures/enemies/prawn_c01.dbr,,,False,PRESENT,DB-CITED
3,1,3,4,Proxy,records/proxies/tier01waves/proxy_w03_p04a.dbr,sm_mod,False,records/proxies/poolsbasic/cultistmelee_t1.dbr,sm_mod,100.0,trash,4.0,5.0,0.0,0.0,0.0,12,0,Bloodsworn Adulant | Bloodsworn Adulant | Bloodsworn Zealot | Bloodsworn Summoner | Bloodsworn Void-Caller | Bloodsworn Priest | Bloodsworn Doomsayer | Bloodsworn Zealot | Bloodsworn Summoner | Bloodsworn Void-Caller | Bloodsworn Priest | Bloodsworn Doomsayer,records/creatures/enemies/humanchthonic_cultist_a01.dbr | records/creatures/enemies/humanchthonic_cultistf_a01.dbr | records/creatures/enemies/humanchthonic_cultistf_b01.dbr | records/creatures/enemies/humanchthonic_cultistf_b02.dbr | records/creatures/enemies/humanchthonic_cultistf_b03.dbr | records/creatures/enemies/humanchthonic_cultistf_c01.dbr | records/creatures/enemies/humanchthonic_cultistf_c02.dbr | records/creatures/enemies/humanchthonic_cultist_b01.dbr | records/creatures/enemies/humanchthonic_cultist_b02.dbr | records/creatures/enemies/humanchthonic_cultist_b03.dbr | records/creatures/enemies/humanchthonic_cultist_c01.dbr | records/creatures/enemies/humanchthonic_cultist_c02.dbr,,,False,PRESENT,DB-CITED
3,1,3,1,Proxy,records/proxies/tier01waves/proxy_w03_p01a.dbr,sm_mod,False,records/proxies/poolsbasic/gazer_t1.dbr,sm_mod,100.0,trash,4.0,5.0,0.0,0.0,0.0,4,0,Corruption | Overseer | Overmind | Mindrager,records/creatures/enemies/gazer_a01.dbr | records/creatures/enemies/gazer_b01.dbr | records/creatures/enemies/gazer_c01.dbr | records/creatures/enemies/gazer_d01.dbr,,,False,PRESENT,DB-CITED
