pool_record,pool_archive,pool_family,pool_kind,ignore_game_balance,field_state,raw_value,provenance,spawn_min,spawn_max,champion_chance,champion_min,champion_max,proxy_pool_equation
records/proxies/poolsbasic/aetherialabomination_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,2.0,3.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialabomination_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,3.0,4.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialabomination_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,4.0,5.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialhorror_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,4.0,4.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialhorror_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialhorror_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,7.0,8.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialreanimator_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,2.0,4.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialreanimator_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,4.0,5.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialreanimator_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialwisps_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/aetherialwisps_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,7.0,9.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/blacklegion_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,4.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/blacklegion_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,7.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/blacklegion_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,7.0,8.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/boar_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,3.0,4.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/boar_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,7.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/boarfrost_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,4.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/boarfrost_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/bonerat_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,5.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/bonerat_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,7.0,8.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/bonerat_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,8.0,9.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonian_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,3.0,4.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonian_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,7.0,7.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandefiler_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,5.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandefiler_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandevourer_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandevourer_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,8.0,9.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandevourer_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,9.0,11.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandreadguard_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,3.0,3.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandreadguard_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,5.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthoniandreadguard_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianfiend_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianfiend_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,7.0,8.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianfiend_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,8.0,9.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianleech_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,3.0,3.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianleech_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,5.0,5.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianleech_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianminion_t1.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,3.0,4.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianminion_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,7.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianvoid_ambush_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,7.0,8.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
records/proxies/poolsbasic/chthonianvoid_t2.dbr,sm_mod,poolsbasic,trash,False,PRESENT,False,DB-CITED,6.0,6.0,0.0,0.0,0.0,records/proxies/proxypoolequation_01.dbr
