point,who,record,bio,life_eq,charLevel_eq,spawn,cl_mode,charLevel,own_lifemod,glad_src,M,base_life,eHP
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,103,float,108.0,0.0,w160(i159),10.04,213268.1135508796,2141211.860050831
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,103,float,108.0,0.0,w159/i158,10.02,213268.1135508796,2136946.4977798136
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,103,floor,108.0,0.0,w160(i159),10.04,213268.1135508796,2141211.860050831
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,103,floor,108.0,0.0,w159/i158,10.02,213268.1135508796,2136946.4977798136
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,105,float,110.0,0.0,w160(i159),10.04,219205.61721181282,2200824.3968066005
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,105,float,110.0,0.0,w159/i158,10.02,219205.61721181282,2196440.2844623644
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,105,floor,110.0,0.0,w160(i159),10.04,219205.61721181282,2200824.3968066005
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,105,floor,110.0,0.0,w159/i158,10.02,219205.61721181282,2196440.2844623644
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,103,float,103.0,0.0,w160(i159),10.04,198664.90657782977,1994595.6620414106
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,103,float,103.0,0.0,w159/i158,10.02,198664.90657782977,1990622.363909854
