pt   who                                    bio                          clEq                      cl       base     eHP@324     eHP@322
p01  Raddoth                                bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   4,102,036   4,094,605
p01  Defiler - Benn'Jahr                    bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p01  Curate Ignus                           bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p01  Shriek                                 bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p01  Vinn the Giant Ozmald                  bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p01  Reanimator - Valdaran                  bio_boss_nemesis_01          charLevel*1+2         108.00    325,499   3,268,008   3,261,498
p01  Heavy - The Iron Maiden                bio_boss_nemesis_01          charLevel*1           106.00    317,052   3,183,204   3,176,863
p01  Necromancer - Zantarin                 bio_boss_nemesis_01          charLevel*1           106.00    317,052   3,183,204   3,176,863
p01  Assassin - Fabius                      bio_boss_nemesis_01          charLevel*1           106.00    317,052   3,183,204   3,176,863
p01  Golem P2 - Moosilauke                  bio_boss_nemesis_01          (charLevel*1)         106.00    317,052   3,183,204   3,176,863
p02  Borreus the Underking                  bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p02  nemesis_chthonianvoidborn_01           bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p02  nemesis_wendigo_01                     bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p02  Reaper of Rot                          bio_boss_nemesis_01          (charLevel*1.1)+2     118.60    371,561   3,730,475   3,723,043
p02  nemesis_beast_01_p1                    bio_boss_nemesis3phase_01    (charLevel*1.1)+2     118.60    294,985   2,961,649   2,955,749
p03  nemesis_aetherialvanguard_01           bio_boss_nemesis_01          charLevel*1+5         111.00    338,316   3,396,692   3,389,926
p04  aetherialcolossus_galakros             bio_boss_aetherial_colossu   charLevel*1+5         110.00    219,206   2,200,824   2,196,440
p04  Korvaak's Tomb Guardian                bio_boss_tombguardian        charLevel*1           105.00    204,465   2,052,825   2,048,736
p06  Ulda Emberclaw                         bio_hero_standard_01         (charLevel*1)+2       107.00     40,360     405,213     404,406
p06  Haldra the Bloodlust                   bio_hero_standard_01         (charLevel*1)+2       107.00     40,360     405,213     404,406
p06  Palros Protector of the Pack ~ Defen   bio_hero_standard_01         (charLevel*1)+2       107.00     40,360     405,213     404,406
p06  Allcadius the Unburied ~ Reflective    bio_hero_standard_01         (charLevel*1)+2       107.00     40,360     405,213     404,406
p06  Gaddo Evergrown ~ Bramble              bio_hero_standard_01         (charLevel*1)+2       107.00     40,360     405,213     404,406

wrote t20_wave160_board_ehp.csv  (rows: 60 )
