point,who,record,bio,life_eq,charLevel_eq,proxy,spawn_level,charLevel,own_lifemod,glad_cell,M,base_life,eHP
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,lv7_uber hero,103,108.0,0.0,324,10.04,213268.1,2141212
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,lv7_uber hero,103,108.0,0.0,322,10.02,213268.1,2136946
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,lv7_uber hero,105,110.0,0.0,324,10.04,219205.6,2200824
p04,aetherialcolossus_galakros,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,bio_boss_aetherial_colossusgalakros,((charLevel*33)^1.5)+500,charLevel*1+5,lv7_uber hero,105,110.0,0.0,322,10.02,219205.6,2196440
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,lv7_uber hero,103,103.0,0.0,324,10.04,198664.9,1994596
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,lv7_uber hero,103,103.0,0.0,322,10.02,198664.9,1990622
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,lv7_uber hero,105,105.0,0.0,324,10.04,204464.6,2052825
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,lv7_uber hero,105,105.0,0.0,322,10.02,204464.6,2048736
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,324,10.04,39795.1,399543
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,322,10.02,39795.1,398747
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,324,10.04,40359.8,405213
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,322,10.02,40359.8,404406
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,324,10.04,39795.1,399543
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,322,10.02,39795.1,398747
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,324,10.04,40359.8,405213
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,322,10.02,40359.8,404406
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,324,10.04,39795.1,399543
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,322,10.02,39795.1,398747
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,324,10.04,40359.8,405213
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,322,10.02,40359.8,404406
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,324,10.04,39795.1,399543
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,322,10.02,39795.1,398747
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,324,10.04,40359.8,405213
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,322,10.02,40359.8,404406
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,324,10.04,39795.1,399543
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,104,106.0,0.0,322,10.02,39795.1,398747
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,324,10.04,40359.8,405213
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,lv6_hero,105,107.0,0.0,322,10.02,40359.8,404406
p01,Reanimator - Valdaran,records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+2,lv8_boss+,106,108.0,0.0,324,10.04,325498.8,3268008
p01,Reanimator - Valdaran,records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+2,lv8_boss+,106,108.0,0.0,322,10.02,325498.8,3261498
p03,nemesis_aetherialvanguard_01,records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+5,lv8_boss+,106,111.0,0.0,324,10.04,338316.0,3396692
p03,nemesis_aetherialvanguard_01,records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+5,lv8_boss+,106,111.0,0.0,322,10.02,338316.0,3389926
p02,nemesis_beast_01_p1,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,bio_boss_nemesis3phase_01,((charLevel*36)^1.5)+16000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,324,10.04,294985.0,2961649
p02,nemesis_beast_01_p1,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,bio_boss_nemesis3phase_01,((charLevel*36)^1.5)+16000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,322,10.02,294985.0,2955749
p02,Borreus the Underking,records/creatures/enemies/nemesis/nemesis_beast_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,324,10.04,371561.2,3730475
p02,Borreus the Underking,records/creatures/enemies/nemesis/nemesis_beast_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,322,10.02,371561.2,3723043
p01,Defiler - Benn'Jahr,records/creatures/enemies/nemesis/nemesis_chthonian_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,324,10.04,371561.2,3730475
p01,Defiler - Benn'Jahr,records/creatures/enemies/nemesis/nemesis_chthonian_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,322,10.02,371561.2,3723043
p02,nemesis_chthonianvoidborn_01,records/creatures/enemies/nemesis/nemesis_chthonianvoidborn_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,324,10.04,371561.2,3730475
p02,nemesis_chthonianvoidborn_01,records/creatures/enemies/nemesis/nemesis_chthonianvoidborn_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,322,10.02,371561.2,3723043
p01,Curate Ignus,records/creatures/enemies/nemesis/nemesis_kymon_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,324,10.04,371561.2,3730475
p01,Curate Ignus,records/creatures/enemies/nemesis/nemesis_kymon_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,322,10.02,371561.2,3723043
p01,Heavy - The Iron Maiden,records/creatures/enemies/nemesis/nemesis_kymon_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,lv8_boss+,106,106.0,0.0,324,10.04,317052.2,3183204
p01,Heavy - The Iron Maiden,records/creatures/enemies/nemesis/nemesis_kymon_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,lv8_boss+,106,106.0,0.0,322,10.02,317052.2,3176863
p01,Necromancer - Zantarin,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,lv8_boss+,106,106.0,0.0,324,10.04,317052.2,3183204
p01,Necromancer - Zantarin,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,lv8_boss+,106,106.0,0.0,322,10.02,317052.2,3176863
p01,Shriek,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,324,10.04,371561.2,3730475
p01,Shriek,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,322,10.02,371561.2,3723043
p01,Assassin - Fabius,records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,lv8_boss+,106,106.0,0.0,324,10.04,317052.2,3183204
p01,Assassin - Fabius,records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,lv8_boss+,106,106.0,0.0,322,10.02,317052.2,3176863
p01,Vinn the Giant Ozmald,records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,324,10.04,371561.2,3730475
p01,Vinn the Giant Ozmald,records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,0.0,322,10.02,371561.2,3723043
p01,Raddoth,records/creatures/enemies/nemesis/nemesis_undead_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,100.0,324,11.04,371561.2,4102036
p01,Raddoth,records/creatures/enemies/nemesis/nemesis_undead_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,lv8_boss+,106,118.6,100.0,322,11.02,371561.2,4094605
p01,Golem P2 - Moosilauke,records/creatures/enemies/nemesis/nemesis_undead_02b.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1),lv8_boss+,106,106.0,0.0,324,10.04,317052.2,3183204
p01,Golem P2 - Moosilauke,records/creatures/enemies/nemesis/nemesis_undead_02b.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1),lv8_boss+,106,106.0,0.0,322,10.02,317052.2,3176863
