body,name_tag,record,winner_archive,pool_slot,spawn_source,monster_class,proxy,proxy_lv_min,proxy_lv_max,level_offset_vs_proxy,charLevel,charLevel_grade,bio_record,bio_archive,life_equation,armorbase_record,armorbase_skill_level_eq,armorbase_index,armorbase_pct,ultimate_pct,gladiator_index,gladiator_pct,own_characterLifeModifier,own_applied,M,base_life,eHP,measured,residual_abs,residual_pct,verdict,note
"Valdaran, the Storm Scourge",tagNemesis_Aetherial01,records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,sm_mod,p01.name1,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Benn'Jahr, the Colossal",tagNemesis_Chthonian02,records/creatures/enemies/nemesis/nemesis_chthonian_02.dbr,sm_mod,p01.name2,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Zantarin, the Immortal",tagNemesis_OrderDeathsVigil01,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,sm_mod,p01.name3,pool,Boss,lv8_boss+,106,106,3,109,MEASURED-CAMERA,records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,3722896,0,0.0,EXACT,camera nameplate level; on the filmed board
"Fabius ""the Unseen"" Gonzar",tagNemesis_Outlaw01,records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr,sm_mod,p01.name4,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Moosilauke, the Chillwind",tagNemesis_Undead02,records/creatures/enemies/nemesis/nemesis_undead_02b.dbr,sm_mod,p01.name5,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
The Iron Maiden,tagNemesis_Kymon02,records/creatures/enemies/nemesis/nemesis_kymon_02.dbr,sm_mod,p01.name6,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase06.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Raddoth, Lord Hierophant",tagGDX3Nemesis_Undead02,records/creatures/enemies/nemesis/nemesis_undead_01.dbr,sm3,p01.name7,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,100.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Curate Ignus,tagGDX3Nemesis_Zealot02,records/creatures/enemies/nemesis/nemesis_kymon_01.dbr,sm3,p01.name8,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Shriek,tagGDX3Nemesis_Necro02,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr,sm3,p01.name9,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Vinn ""the Giant"" Ozmald",tagGDX3Nemesis_Outlaw02,records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr,sm3,p01.name10,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Kubacabra, the Endless Menace",tagGDX1Nemesis_Beast01,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,sm1,p02.name1,pool,Boss,lv8_boss+,106,106,3,109,MEASURED-CAMERA,records/creatures/enemies/bios/bio_boss_nemesis3phase_01.dbr,sm1,((charLevel*36)^1.5)+16000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,261806.5764,2955796,2955796,0,0.0,EXACT,camera nameplate level; on the filmed board
"Grava'Thul, the Voiddrinker",tagGDX1Nemesis_Chthonian01,records/creatures/enemies/nemesis/nemesis_chthonianvoidborn_01.dbr,sm1,p02.name2,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
