==============================================================================================================
STEP 2 — full field dump for one representative (Zantarin) so we can see the shape
==============================================================================================================
owners=['base', 'gdx1', 'gdx2', 'sm_mod']  fields=1007
  Class                                            = Monster                                                                                    [sm_mod]
  FileDescription                                  = Necromancer - Zantarin                                                                     [sm_mod]
  LowerHealthDisplayPercentage                     = 0.0                                                                                        [sm_mod]
  MonsterMusic                                     = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr                                 [sm_mod]
  MonsterMusicRadius                               = 50.0                                                                                       [sm_mod]
  UpperHealthDisplayPercentage                     = 100.0                                                                                      [sm_mod]
  actorHeight                                      = 2.0                                                                                        [sm_mod]
  actorRadius                                      = 0.3499999940395355                                                                         [sm_mod]
  alertAnimChance                                  = 0                                                                                          [sm_mod]
  alertSound                                       = records/sounds/enemies/vocalizations/spak_skeletonalert.dbr                                [sm_mod]
  alertSoundChance                                 = 100.0                                                                                      [sm_mod]
  allowTransparency                                = False                                                                                      [sm_mod]
  ambientPeriodMax                                 = 30.0                                                                                       [sm_mod]
  ambientPeriodMin                                 = 3.0                                                                                        [sm_mod]
  ambientSound                                     = records/sounds/enemies/vocalizations/spak_skeletonvox.dbr                                  [sm_mod]
  ambushDissolveTexture                            = system/textures/cloud.tex                                                                  [sm_mod]
  ambushDissolveTime                               = 0                                                                                          [sm_mod]
  angerMultiplier                                  = 1.0                                                                                        [sm_mod]
  attackSkillName                                  = records/skills/nonplayerskills/bossskills/nemesis/zantarin_undeathmissiles.dbr             [sm_mod]
  attackSound                                      = records/sounds/enemies/combatbasic/spak_attack_generic01.dbr                               [sm_mod]
  avoidForce                                       = 0.5                                                                                        [sm_mod]
  baseTexture                                      = creatures/enemies/skeleton/skeleton_01c_dif.tex                                            [sm_mod]
  bodyFallSound                                    = records/sounds/enemies/combatbasic/spak_bodyfall_bone01.dbr                                [sm_mod]
  bodyFallSoundChance                              = 100.0                                                                                      [sm_mod]
  buffSelfSkillName                                = records/skills/nonplayerskills/bossskills/nemesis/zantarin_boneshield.dbr                  [sm_mod]
  castsShadows                                     = True                                                                                       [sm_mod]
  causesAnger                                      = True                                                                                       [sm_mod]
  chainBehavior                                    = UseOnCurrentEnemy                                                                          [sm_mod]
  chainInitialSkill                                = records/skills/nonplayerskills/bossskills/nemesis/zantarin_boneshield.dbr                  [sm_mod]
  chainNextSkill                                   = records/skills/nonplayerskills/bossskills/nemesis/zantarin_vitalitynovabarrage.dbr         [sm_mod]
  chanceToEquipChest                               = 0.0                                                                                        [sm_mod]
  chanceToEquipChestItem1                          = 0                                                                                          [sm_mod]
  chanceToEquipChestItem2                          = 0                                                                                          [sm_mod]
  chanceToEquipChestItem3                          = 0                                                                                          [sm_mod]
  chanceToEquipChestItem4                          = 0                                                                                          [sm_mod]
  chanceToEquipChestItem5                          = 0                                                                                          [sm_mod]
  chanceToEquipChestItem6                          = 0                                                                                          [sm_mod]
  chanceToEquipFeetItem1                           = 0                                                                                          [sm_mod]
  chanceToEquipFinger1                             = 0.0                                                                                        [sm_mod]
  chanceToEquipFinger1Item1                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger1Item2                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger1Item3                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger1Item4                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger1Item5                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger1Item6                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger2                             = 0.0                                                                                        [sm_mod]
  chanceToEquipFinger2Item1                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger2Item2                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger2Item3                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger2Item4                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger2Item5                        = 0                                                                                          [sm_mod]
  chanceToEquipFinger2Item6                        = 0                                                                                          [sm_mod]
  chanceToEquipHead                                = 0.0                                                                                        [sm_mod]
  chanceToEquipHeadItem1                           = 0                                                                                          [sm_mod]
  chanceToEquipHeadItem2                           = 0                                                                                          [sm_mod]
  chanceToEquipHeadItem3                           = 0                                                                                          [sm_mod]
  chanceToEquipHeadItem4                           = 35                                                                                         [sm_mod]
  chanceToEquipHeadItem5                           = 0                                                                                          [sm_mod]
  chanceToEquipHeadItem6                           = 0                                                                                          [sm_mod]
  chanceToEquipLeftHand                            = 100.0                                                                                      [sm_mod]
  chanceToEquipLeftHandItem1                       = 1000                                                                                       [sm_mod]
  chanceToEquipLeftHandItem2                       = 50                                                                                         [sm_mod]
  chanceToEquipLeftHandItem3                       = 5                                                                                          [sm_mod]
  chanceToEquipLeftHandItem4                       = 0                                                                                          [sm_mod]
  chanceToEquipLeftHandItem5                       = 0                                                                                          [sm_mod]
  chanceToEquipLeftHandItem6                       = 0                                                                                          [sm_mod]
  chanceToEquipLegsItem1                           = 0                                                                                          [sm_mod]
  chanceToEquipLegsItem2                           = 0                                                                                          [sm_mod]
  chanceToEquipLegsItem3                           = 0                                                                                          [sm_mod]
  chanceToEquipLegsItem4                           = 0                                                                                          [sm_mod]
  chanceToEquipLegsItem5                           = 0                                                                                          [sm_mod]
  chanceToEquipLegsItem6                           = 0                                                                                          [sm_mod]
  chanceToEquipMisc1                               = 0.0                                                                                        [sm_mod]
  chanceToEquipMisc1Item1                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc1Item2                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc1Item3                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc1Item4                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc1Item5                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc1Item6                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc2                               = 0.0                                                                                        [sm_mod]
  chanceToEquipMisc2Item1                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc2Item2                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc2Item3                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc2Item4                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc2Item5                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc2Item6                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc3                               = 0.0                                                                                        [sm_mod]
  chanceToEquipMisc3Item1                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc3Item2                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc3Item3                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc3Item4                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc3Item5                          = 0                                                                                          [sm_mod]
  chanceToEquipMisc3Item6                          = 0                                                                                          [sm_mod]
  chanceToEquipRightHand                           = 100.0                                                                                      [sm_mod]
  chanceToEquipRightHandItem1                      = 1000                                                                                       [sm_mod]
  chanceToEquipRightHandItem2                      = 50                                                                                         [sm_mod]
  chanceToEquipRightHandItem3                      = 5                                                                                          [sm_mod]
  chanceToEquipRightHandItem4                      = 0                                                                                          [sm_mod]
  chanceToEquipRightHandItem5                      = 0                                                                                          [sm_mod]
  chanceToEquipRightHandItem6                      = 0                                                                                          [sm_mod]
  chanceToEquipShoulders                           = 0.0                                                                                        [sm_mod]
  chanceToEquipShouldersItem1                      = 0                                                                                          [sm_mod]
  chanceToEquipShouldersItem2                      = 0                                                                                          [sm_mod]
  chanceToEquipShouldersItem3                      = 0                                                                                          [sm_mod]
  chanceToEquipShouldersItem4                      = 0                                                                                          [sm_mod]
  chanceToEquipShouldersItem5                      = 0                                                                                          [sm_mod]
  chanceToEquipShouldersItem6                      = 0                                                                                          [sm_mod]
  chanceToSpawnOnDeath                             = 0.0                                                                                        [sm_mod]
  charAnimationTableName                           = records/creatures/enemies/anm/anm_skeleton.dbr                                             [sm_mod]
  charLevel                                        = charLevel*1                                                                                [sm_mod]
  characterAttackSpeed                             = 1.0                                                                                        [sm_mod]
  characterAttackSpeedModifier                     = 0.0                                                                                        [sm_mod]
  characterAttributeEquations                      = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr                                     [sm_mod]
  characterBaseAttackSpeedTag                      = CharacterAttackSpeedAverage                                                                [sm_mod]
  characterDefensiveAbility                        = 0.0                                                                                        [sm_mod]
  characterDefensiveAbilityModifier                = 0.0                                                                                        [sm_mod]
  characterDexterity                               = 0.0                                                                                        [sm_mod]
  characterDexterityModifier                       = 0.0                                                                                        [sm_mod]
  characterGenderProfile                           = Male                                                                                       [sm_mod]
  characterIntelligence                            = 0.0                                                                                        [sm_mod]
  characterIntelligenceModifier                    = 0.0                                                                                        [sm_mod]
  characterLife                                    = 0.0                                                                                        [sm_mod]
  characterLifeModifier                            = 0.0                                                                                        [sm_mod]
  characterLifeRegen                               = 0.0                                                                                        [sm_mod]
  characterLifeRegenModifier                       = 0.0                                                                                        [sm_mod]
  characterLightRadius                             = 0.0                                                                                        [sm_mod]
  characterMana                                    = 0.0                                                                                        [sm_mod]
  characterManaLimitReserve                        = 0.0                                                                                        [sm_mod]
  characterManaLimitReserveModifier                = 0.0                                                                                        [sm_mod]
  characterManaLimitReserveReduction               = 0.0                                                                                        [sm_mod]
  characterManaLimitReserveReductionModifier       = 0.0                                                                                        [sm_mod]
  characterManaModifier                            = 0.0                                                                                        [sm_mod]
  characterManaRegen                               = 0.0                                                                                        [sm_mod]
  characterManaRegenModifier                       = 0.0                                                                                        [sm_mod]
  characterOffensiveAbility                        = 0.0                                                                                        [sm_mod]
  characterOffensiveAbilityModifier                = 0.0                                                                                        [sm_mod]
  characterRacialProfile                           = Race001                                                                                    [sm_mod]
  characterRunSpeed                                = 1.2999999523162842                                                                         [sm_mod]
  characterRunSpeedModifier                        = 0.0                                                                                        [sm_mod]
  characterSpellCastSpeed                          = 1.0                                                                                        [sm_mod]
  characterSpellCastSpeedModifier                  = 0.0                                                                                        [sm_mod]
  characterStrength                                = 0.0                                                                                        [sm_mod]
  characterStrengthModifier                        = 0.0                                                                                        [sm_mod]
  controller                                       = records/controllers/enemy/controller_nemesis_necro_rangedcaster.dbr                        [sm_mod]
  criticalHitSound                                 = records/sounds/enemies/vocalizations/spak_skeletoncrit.dbr                                 [sm_mod]
  dHandedAlertAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  dHandedAlertAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  dHandedAlertAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  dHandedAlertAnimWeight1                          = 100.0                                                                                      [sm_mod]
  dHandedAlertAnimWeight2                          = 100.0                                                                                      [sm_mod]
  dHandedAlertAnimWeight3                          = 100.0                                                                                      [sm_mod]
  dHandedAttackAnimSpeed1                          = 0.75                                                                                       [sm_mod]
  dHandedAttackAnimSpeed2                          = 0.75                                                                                       [sm_mod]
  dHandedAttackAnimSpeed3                          = 0.75                                                                                       [sm_mod]
  dHandedAttackAnimWeight1                         = 100.0                                                                                      [sm_mod]
  dHandedAttackAnimWeight2                         = 100.0                                                                                      [sm_mod]
  dHandedAttackAnimWeight3                         = 100.0                                                                                      [sm_mod]
  dHandedAttackIdleAnimSpeed                       = 1.0                                                                                        [sm_mod]
  dHandedBuffOtherAnimSpeed1                       = 1.0                                                                                        [sm_mod]
  dHandedBuffOtherAnimWeight1                      = 100.0                                                                                      [sm_mod]
  dHandedBuffSelfAnimSpeed1                        = 1.0                                                                                        [sm_mod]
