difficulty,field,value
aspirant,defensiveConvert,50.0
aspirant,defensiveReflectModifier,-70.0
aspirant,offensiveFreezeModifier,-40.0
aspirant,offensivePetrifyModifier,-40.0
aspirant,offensiveSleepModifier,-40.0
aspirant,offensiveSlowDamageMultModifier,-15.0
aspirant,offensiveStunModifier,-40.0
aspirant,offensiveTrapModifier,-40.0
challenger,defensiveConvert,50.0
challenger,defensiveReflectModifier,-70.0
challenger,offensiveFreezeModifier,-40.0
challenger,offensivePetrifyModifier,-40.0
challenger,offensiveSleepModifier,-40.0
challenger,offensiveSlowDamageMultModifier,-30.0
challenger,offensiveStunModifier,-40.0
challenger,offensiveTrapModifier,-40.0
gladiator,defensiveConvert,50.0
gladiator,defensiveReflectModifier,-70.0
gladiator,offensiveFreezeModifier,-40.0
gladiator,offensivePetrifyModifier,-40.0
gladiator,offensiveSleepModifier,-40.0
gladiator,offensiveSlowDamageMultModifier,-40.0
gladiator,offensiveStunModifier,-40.0
gladiator,offensiveTrapModifier,-40.0
