wave,tier,difficulty,characterAttackSpeedModifier,characterDefensiveAbility,characterDefensiveAbilityModifier,characterLifeModifier,characterLifeRegenModifier,characterManaRegenModifier,characterOffensiveAbility,characterOffensiveAbilityModifier,characterPercentHealIncreaseModifier,characterSpellCastSpeedModifier,defensivePercentCurrentLife,offensiveCritDamageModifier,offensivePhysicalModifier,offensiveSlowBleedingModifier,offensiveSlowColdModifier,offensiveSlowFireModifier,offensiveSlowLifeModifier,offensiveSlowLightningModifier,offensiveSlowPhysicalModifier,offensiveSlowPoisonModifier,offensiveTotalDamageModifier,retaliationTotalDamageModifier,skillCooldownReduction,spawnChampionMaxAdj,spawnChampionMinAdj
1,1,aspirant,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0
2,1,aspirant,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0
3,1,aspirant,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,0.0,0,0
4,1,aspirant,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,0.0,0,0
5,1,aspirant,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
6,1,aspirant,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
7,1,aspirant,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
8,1,aspirant,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
9,1,aspirant,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
10,1,aspirant,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,-25.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,5.0,0.0,0.0,0,0
11,2,aspirant,0.0,1.0,0.0,13.0,0.0,0.0,5.0,0.0,-25.0,0.0,1.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,5.0,0.0,0.0,0,0
12,2,aspirant,0.0,1.0,0.0,14.0,0.0,0.0,5.0,0.0,-25.0,0.0,1.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,5.0,0.0,0.0,0,0
13,2,aspirant,0.0,1.0,0.0,14.0,0.0,0.0,6.0,0.0,-25.0,0.0,1.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,5.0,0.0,0.0,0,0
14,2,aspirant,0.0,1.0,0.0,16.0,0.0,0.0,6.0,0.0,-25.0,0.0,1.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,5.0,0.0,0.0,0,0
15,2,aspirant,0.0,1.0,0.0,16.0,0.0,0.0,6.0,0.0,-25.0,0.0,1.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,5.0,0.0,0.0,0,0
16,2,aspirant,0.0,1.0,0.0,18.0,0.0,0.0,6.0,0.0,-25.0,0.0,1.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,1.0,0.0,0,0
17,2,aspirant,0.0,1.0,0.0,18.0,0.0,0.0,6.0,0.0,-25.0,0.0,1.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,1.0,0.0,0,0
18,2,aspirant,1.0,1.0,0.0,18.0,0.0,0.0,6.0,0.0,-25.0,1.0,1.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,5.0,1.0,0.0,0,0
19,2,aspirant,1.0,2.0,0.0,19.0,0.0,0.0,9.0,0.0,-25.0,1.0,1.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,5.0,1.0,0.0,0,0
20,2,aspirant,1.0,2.0,0.0,20.0,0.0,0.0,9.0,0.0,-25.0,1.0,1.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,5.0,1.0,0.0,0,0
21,3,aspirant,1.0,2.0,0.0,20.0,0.0,0.0,9.0,0.0,-25.0,1.0,1.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,5.0,1.0,0.0,0,0
