controller,field,base,crucible,changed
records/controllers/enemy/controller_aetherialbloater.dbr,ViewDistance,15.0,80.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,pathingViewDistance,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialbloater.dbr,enemyTooClose,0.0,0.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,InnerViewDistance,4.0,12.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,MaxYViewDistance,10.0,10.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,AngerTolerance,0.0,0.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,AttackedAnger,16.0,15.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,AllyAttackedAnger,4.0,8.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,ForgiveRate,0.0,0.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,SightAngerRate,4.0,5.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,InnerSightAngerRate,8.0,10.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,ProjectileAnger,3.0,5.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,FleeBehavior,NeverFlee,NeverFlee,0
records/controllers/enemy/controller_aetherialbloater.dbr,FleeTime,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,FleeTarget,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialbloater.dbr,maxFleeCount,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,FleeDelay,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,FleeChance,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,fleeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,ClearAngerWhenFleeing,False,False,0
records/controllers/enemy/controller_aetherialbloater.dbr,ResetOriginAfterFleeing,False,False,0
records/controllers/enemy/controller_aetherialbloater.dbr,PursuitTime,10000,10000,0
records/controllers/enemy/controller_aetherialbloater.dbr,MaxPursuitDistance,75.0,125.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,EmoteBeforePursuingChance,20,0,1
