owner archives: {'records/controllers/pets/controller_hellhound_normal.dbr': 'database.arz', 'records/controllers/pets/controller_hellhound_aggressive.dbr': 'database.arz', 'records/controllers/pets/controller_hellhound_defensive.dbr': 'database.arz'}
field                            group              normal   aggressive    defensive
ViewDistance                     Senses               14.0         18.0          8.0
pathingViewDistance              Senses               14.0         18.0          8.0
enemyTooClose                    Senses                4.0          4.0          4.0
InnerViewDistance                Senses                5.0          6.0          4.0
MaxYViewDistance                 Senses               12.0         12.0         12.0
FleeBehavior                     Fleeing         NeverFlee    NeverFlee    NeverFlee
FleeTime                         Fleeing              2500         2500         2500
FleeTarget                       Fleeing      TowardsAllie TowardsAllie TowardsAllie
maxFleeCount                     Fleeing               999          999          999
FleeDelay                        Fleeing              6000         6000         6000
FleeChance                       Fleeing                50           50          100
fleeDistance                     Fleeing               5.0          4.0          6.0
ClearAngerWhenFleeing            Fleeing             False        False        False
ResetOriginAfterFleeing          Fleeing             False        False        False
PursuitTime                      Pursuit             10000        10000        10000
MaxPursuitDistance               Pursuit              18.0         20.0         16.0
EmoteBeforePursuingChance        Pursuit                30           30           30
BuffSelfBehavior                 SkillUsage   WheneverPoss WheneverPoss WheneverPoss
BuffAllyBehavior                 SkillUsage   WhenEnemyIsS WhenEnemyIsS WhenEnemyIsS
DebuffEnemyBehavior              SkillUsage   WhenEnemyIsS WhenEnemyIsS WhenEnemyIsS
healLeaderHealthPercentage       SkillUsage             80           75           85
healAllyHealthPercentage         SkillUsage             70           60           75
BuffAllyTargeting                SkillUsage   BuffStronges BuffStronges BuffStronges
RoamBehavior                     Roaming         NeverRoam         Roam    NeverRoam
MinRoamDistance                  Roaming               2.0          3.0          2.0
RoamDistance                     Roaming               8.0          7.0          6.0
MinTimeBeforeRoam                Roaming              4000         3000         6000
MaxTimeBeforeRoam                Roaming              8000         6000         8000
MinWanderDistance                Roaming               3.0          4.0          2.0
WanderDistance                   Roaming               5.0          7.0          4.0
TeleportToLeaderDistance         Roaming              23.0         23.0         18.0
ChanceToIdleOnPatrol             Patrolling              0            0            0
MinPatrolIdleTime                Patrolling              0            0            0
MaxPatrolIdleTime                Patrolling              0            0            0
RandomAngerChance                RandomAnger             0            0            0
RandomAngerEvaluationTime        RandomAnger             0            0            0
DodgeDistance                    Dodging               3.0          3.0          3.0
DodgeDelay                       Dodging              4000         4000         4000
DodgeChance                      Dodging                 0            0            0
MinDodgeDistance                 Dodging               3.0          3.0          3.0
RepositionChance                 Attacking               0            0            0
randomRepositionChance           Attacking               0            0            0
minSwingPause                    Attacking             0.0          0.0          0.0
maxSwingPause                    Attacking             0.0          0.0          0.0
ignoreSleepingEnemies            Sleep                True         True         True
randomEmoteChance                Emote                 100          100          100
randomEmoteMinTime               Emote                5000         5000         5000
randomEmoteMaxTime               Emote               10000        10000        10000
ignorePetsChance                 PetBehaviour           30           30           30
ignorePetsInterval               PetBehaviour         5000         5000         5000
petAngerTransference             PetBehaviour           30           30           30
petTargetLevelRange              PetBehaviour         1000         1000         1000
petTargetLeastAttacked           PetBehaviour        False        False        False
petTargetGreatestHealth          PetBehaviour        False        False        False
LeaderBehavior                   (hidden)                —            —            —
LeaderDistance                   (hidden)                —            —            —
MaxFollowers                     (hidden)                —            —            —
Class                            (hidden)     ControllerMo ControllerMo ControllerMo
