[2026-05-22T10:07:00Z] === Track H — Met Museum Open Access API ===
[2026-05-22T10:07:00Z] DB:      /Users/admin/Games/reincarnated-loadout/data/telemetry.db
[2026-05-22T10:07:00Z] Summary: /Users/admin/Games/reincarnated-collaboration/agentic_orchestration/legolas/research/weapon-library-import-2026-05-22/summaries/track-H-met-museum-summary.json
[2026-05-22T10:07:00Z] Step 1: fetching department object list from https://collectionapi.metmuseum.org/public/collection/v1/objects?departmentIds=4
[2026-05-22T10:07:00Z]   API reports total=13753, objectIDs list length=13753
[2026-05-22T10:07:00Z] Step 2: fetching 13753 objects at ≤5 concurrent threads
[2026-05-22T10:07:00Z]   Expected wall time: ~46–55 minutes
[2026-05-22T10:08:01Z]   Progress: 103/13753 (0.7%) | inserted=0 images=0 | 404s=0 errors=15 | rate=1.7/s ETA=135.3min
[2026-05-22T10:09:14Z]   Progress: 173/13753 (1.3%) | inserted=13 images=465 | 404s=0 errors=31 | rate=1.3/s ETA=176.1min
[2026-05-22T10:10:15Z]   Progress: 212/13753 (1.5%) | inserted=13 images=465 | 404s=0 errors=51 | rate=1.1/s ETA=207.4min
[2026-05-22T10:11:15Z]   Progress: 254/13753 (1.8%) | inserted=13 images=465 | 404s=0 errors=74 | rate=1.0/s ETA=225.7min
[2026-05-22T10:12:15Z]   Progress: 288/13753 (2.1%) | inserted=13 images=465 | 404s=0 errors=90 | rate=0.9/s ETA=245.3min
[2026-05-22T10:13:27Z]   Progress: 337/13753 (2.5%) | inserted=113 images=599 | 404s=0 errors=107 | rate=0.9/s ETA=257.2min
[2026-05-22T10:14:40Z]   Progress: 386/13753 (2.8%) | inserted=113 images=599 | 404s=0 errors=127 | rate=0.8/s ETA=265.7min
[2026-05-22T10:15:40Z]   Progress: 429/13753 (3.1%) | inserted=113 images=599 | 404s=0 errors=151 | rate=0.8/s ETA=269.5min
[2026-05-22T10:16:41Z]   Progress: 461/13753 (3.4%) | inserted=113 images=599 | 404s=0 errors=167 | rate=0.8/s ETA=279.2min
[2026-05-22T10:17:41Z]   Progress: 504/13753 (3.7%) | inserted=213 images=812 | 404s=0 errors=187 | rate=0.8/s ETA=281.0min
[2026-05-22T10:18:42Z]   Progress: 542/13753 (3.9%) | inserted=213 images=812 | 404s=0 errors=202 | rate=0.8/s ETA=285.1min
[2026-05-22T10:19:54Z]   Progress: 591/13753 (4.3%) | inserted=213 images=812 | 404s=0 errors=222 | rate=0.8/s ETA=287.4min
[2026-05-22T10:20:54Z]   Progress: 636/13753 (4.6%) | inserted=213 images=812 | 404s=0 errors=242 | rate=0.8/s ETA=286.9min
[2026-05-22T10:21:55Z]   Progress: 679/13753 (4.9%) | inserted=313 images=963 | 404s=0 errors=262 | rate=0.8/s ETA=287.4min
[2026-05-22T10:23:09Z]   Progress: 737/13753 (5.4%) | inserted=313 images=963 | 404s=0 errors=282 | rate=0.8/s ETA=285.2min
[2026-05-22T10:24:09Z]   Progress: 783/13753 (5.7%) | inserted=313 images=963 | 404s=0 errors=302 | rate=0.8/s ETA=284.1min
[2026-05-22T10:25:09Z]   Progress: 821/13753 (6.0%) | inserted=313 images=963 | 404s=0 errors=322 | rate=0.8/s ETA=285.9min
