build_id,build_name,skill_hit,class_hit,activity_hit,all_three,skill_class,skill_activity,class_activity
1,Whirlwind Barbarian Endgame Build,True,True,True,True,True,True,True
2,Bone Spirit Necromancer Endgame Build,True,True,True,True,True,True,True
3,Minion Necromancer Endgame Build,True,True,True,True,True,True,True
4,Minion Barbarian Endgame Build,True,True,True,True,True,True,True
5,Frenzy Throw Barbarian Leveling Guide,True,True,True,True,True,True,True
6,Evade Counterswarm Spiritborn Endgame Build,True,True,True,True,True,True,True
7,Blood Wave Necromancer Endgame Build,True,True,True,True,True,True,True
8,Zeal Paladin Endgame Build,True,True,True,True,True,True,True
9,Clash Paladin Endgame Build,True,True,True,True,True,True,True
10,Lunatic Warlock Endgame Build,False,True,True,False,False,False,True
11,Barrage Rogue Endgame Build,True,True,True,True,True,True,True
12,Penetrating Shot Rogue Endgame Build,True,True,True,True,True,True,True
13,Dash Rogue Endgame Build,True,True,True,True,True,True,True
14,Death Trap Rogue Endgame Build,True,True,True,True,True,True,True
15,Blood Lance Necromancer Endgame Build,True,True,True,True,True,True,True
16,Blood Surge Necromancer Endgame Build,True,True,True,True,True,True,True
17,Twisting Blades Rogue Endgame Build,True,True,True,True,True,True,True
18,Shield of Retribution Paladin Endgame Build,True,True,True,True,True,True,True
19,Ice Shards Sorcerer Endgame Build,True,True,True,True,True,True,True
20,Heartseeker Rogue Endgame Build,True,True,True,True,True,True,True
21,Golem Necromancer Endgame Build,True,True,True,True,True,True,True
22,Whirlwind Barbarian Build,True,True,True,True,True,True,True
23,Shadow Golems Summoner Necromancer Build,True,True,True,True,True,True,True
24,Blood Wave Necromancer Build,True,True,True,True,True,True,True
25,Rapid Fire Rogue Build,True,True,True,True,True,True,True
26,Dance of Knives Rogue Build,True,True,True,True,True,True,True
27,Crackling Energy Sorcerer Build,True,True,True,True,True,True,True
28,Auradin Build,False,False,True,False,False,False,False
29,Abyss Rampage Endgame Warlock Build,True,True,True,True,True,True,True
30,Hammer of the Ancients Barbarian Build,True,True,True,True,True,True,True
31,Penetrating Shot Rogue Build,True,True,True,True,True,True,True
32,Barrage Rogue Build,True,True,True,True,True,True,True
33,Ball Lightning Sorcerer Endgame Build,True,True,True,True,True,True,True
34,Charged Bolts Sorcerer Endgame Build,True,True,True,True,True,True,True
35,Zealot Paladin Build,False,True,True,False,False,False,True
36,Blessed Hammer Paladin Endgame Build,True,True,True,True,True,True,True
37,Dust Devil Double Swing Barbarian Build,True,True,True,True,True,True,True
38,Reaper Summoner Necromancer Build,True,True,True,True,True,True,True
39,Hellfire Rampage Warlock Build,True,True,True,True,True,True,True
40,Storm Brand Inquisitor League Starter,True,True,True,True,True,True,True
41,Carrion Golems & Zombies Necromancer League Starter,True,True,True,True,True,True,True
42,Forged Frostbearer Spectre Necromancer League Starter,True,True,True,True,True,True,True
43,Elemental Hit Slayer League Starter,True,True,True,True,True,True,True
44,Holy Hammer Inquisitor League Starter,True,True,True,True,True,True,True
45,Poison SRS Necromancer League Starter,False,True,True,False,False,False,True
46,Chaos Minion Army Necromancer League Starter,True,True,True,True,True,True,True
47,Poison Ranged Animate Weapons League Starter,True,False,True,False,False,True,False
48,Penance Brand Ignite Elementalist,True,True,False,False,True,False,False
49,Penance Brand of Dissipation Inquisitor League Starter,True,True,True,True,True,True,True
50,Storm Rain Deadeye League Starter,True,True,True,True,True,True,True
51,Poisonous Concoction of Bouncing Pathfinder League Starter,True,True,True,True,True,True,True
52,Kinetic Blast Deadeye League Starter,True,True,True,True,True,True,True
53,Elemental Hit of the Spectrum Deadeye League Starter,True,True,True,True,True,True,True
54,Rolling Magma Mines Saboteur League Starter,True,True,True,True,True,True,True
55,Eviscerate Bleed Gladiator League Starter,True,True,True,True,True,True,True
56,Earthshatter Slayer League Starter,True,True,True,True,True,True,True
57,Ground Slam of Earthshaking Slayer League Starter,True,True,True,True,True,True,True
58,Arakaali's Raise Spider Occultist League Starter,True,True,True,True,True,True,True
59,Shock Nova of Procession Archmage Hierophant League Starter,True,True,True,True,True,True,True
60,The Spectre Summoner — Necromancer,True,True,False,False,True,False,False
61,Siege Ballista Hierophant,True,True,False,False,True,False,False
62,Lacerate Gladiator,True,True,False,False,True,False,False
63,Cyclone Slayer,True,True,False,False,True,False,False
64,Toxic Rain Pathfinder,True,True,False,False,True,False,False
65,Primalist Leveling Guide,False,False,True,False,False,False,False
66,Shatter Totem Werebear Druid,True,True,False,False,True,False,False
67,Tornado Shaman,True,True,False,False,True,False,False
68,Swipe Werebear Druid,True,True,False,False,True,False,False
69,Shield Throw Paladin,True,True,False,False,True,False,False
70,Upheaval Beastmaster,True,True,False,False,True,False,False
71,Harvest Flay Lich,True,True,False,False,True,False,False
72,Shield Bash Forge Guard,True,True,False,False,True,False,False
73,Judgement Aura Paladin,True,True,False,False,True,False,False
74,Bleed Hammerdin Paladin,False,True,False,False,False,False,False
75,Torment Warlock,False,True,False,False,False,False,False
76,Rive Void Knight,True,True,False,False,True,False,False
77,Smite Paladin,True,True,False,False,True,False,False
78,Smite Void Knight,True,True,False,False,True,False,False
79,Rip Blood Warlock,True,True,False,False,True,False,False
80,Rip Blood Lich,True,True,False,False,True,False,False
81,Profane Veil Warlock,True,True,False,False,True,False,False
82,Multistrike Smite Void Knight,True,True,False,False,True,False,False
83,Multistrike Forge Guard,True,True,False,False,True,False,False
84,Judgement Paladin,True,True,False,False,True,False,False
86,Frostbolt Cast On Crit Comet Oracle,True,True,False,False,True,False,False
87,Entangle Oracle,True,True,False,False,True,False,False
88,Whirling Assault Martial Artist,True,True,False,False,True,False,False
89,Arc Stormweaver,False,True,False,False,False,False,False
90,Essence Drain Lich,True,True,False,False,True,False,False
91,Twister Deadeye,True,True,False,False,True,False,False
92,Essence Drain Lich Leveling,True,True,True,True,True,True,True
93,Whirling Assault Titan Endgame,True,True,True,True,True,True,True
94,Skeletal Sniper Shaman,True,True,False,False,True,False,False
95,Disciple of Varashta Minion,True,True,False,False,True,False,False
