kit_id,game,e4_x,e4_y,e5_x_aligned,e5_y_aligned,displacement,anchor_flag
d2-auradin,d2,0.417800,-0.066958,0.278157,-1.047543,0.990478,1
d2-avenger,d2,0.005586,0.096389,-0.088523,-1.193631,1.293447,0
d2-berserker,d2,-0.085191,0.072375,-0.139819,-1.290993,1.364462,0
d2-blade-sin,d2,,,0.821867,0.135514,,0
d2-blaze-sorc,d2,,,0.295908,-0.229054,,0
d2-blizzard-sorc,d2,-0.151281,0.374045,-0.335755,0.022237,0.397240,0
d2-bonemancer,d2,0.274214,0.555317,0.246937,0.171310,0.384975,0
d2-bowazon,d2,0.278840,0.610443,0.228077,0.079500,0.533364,0
d2-bvc,d2,0.711353,-1.210550,0.955861,-0.852905,0.433236,1
d2-charger,d2,-0.192469,-0.115431,0.320113,-0.378564,0.576176,0
d2-conc-barb,d2,-0.056338,-0.056093,-0.133410,-1.301644,1.247933,0
d2-daggermancer,d2,-0.055559,0.065401,-0.118651,-1.200065,1.267038,0
d2-enchantress,d2,-0.277042,-0.166991,-0.245845,-0.413381,0.248357,0
d2-fire-druid,d2,-0.169166,0.332423,-0.204627,-0.070596,0.404576,0
d2-fire-sorc,d2,-0.175732,0.214517,0.016972,0.038201,0.261194,0
d2-fireclaw-wolf,d2,-0.137442,-0.056460,-0.219177,-1.247339,1.193681,0
d2-firewall-sorc,d2,0.214885,0.202129,-0.090413,0.096544,0.323041,0
d2-fishyzon,d2,0.144594,0.512251,0.121392,0.084783,0.428097,0
d2-fohdin,d2,-0.270197,0.259722,0.045980,-0.107879,0.484869,0
d2-frenzy-barb,d2,-0.069592,0.076645,-0.128134,-1.405242,1.483043,1
d2-frost-bowazon,d2,0.240078,0.374131,0.288236,0.110714,0.267783,0
d2-frozen-orb-sorc,d2,0.284324,0.530675,0.563824,-0.210875,0.792476,0
d2-fury-wolf,d2,-0.124632,0.095529,-0.241154,-1.099163,1.200361,0
d2-ghost-pvp,d2,-0.580791,-0.030415,-0.825348,-0.209285,0.302989,0
d2-golemancer,d2,,,-1.225968,0.102552,,0
d2-grim-ward-barb,d2,,,-1.236849,0.065572,,0
d2-hammerdin,d2,0.420488,0.138742,0.629995,-0.360575,0.541489,0
d2-horker,d2,-0.142095,0.207063,0.461323,-0.789367,1.164897,1
d2-hydra-sorc,d2,-0.686750,-0.272817,-1.015200,0.054006,0.463349,0
d2-impale-zon,d2,,,-0.568533,-1.890746,,0
d2-inferno-sorc,d2,,,1.910394,-0.220418,,0
d2-javazon,d2,0.337474,0.756792,0.306522,0.118645,0.638897,0
d2-kicksin,d2,-0.096527,0.289198,-0.177755,-1.301391,1.592662,0
d2-leap-attack-barb,d2,,,-0.223675,-0.909499,,0
d2-lightning-sorc,d2,0.313360,0.669383,0.335749,0.123710,0.546132,0
d2-maul-bear,d2,-0.454221,0.151200,-0.271016,-1.527523,1.688690,0
d2-meteorb,d2,-0.491434,0.332995,-0.289803,-0.306644,0.670666,0
d2-mosaic-sin,d2,-0.030555,0.249371,0.058131,-0.343429,0.599397,0
d2-nova-sorc,d2,0.504394,-0.237727,0.397197,-0.069968,0.199083,0
d2-poison-javazon,d2,-0.330978,0.330917,-0.270458,-0.102148,0.437273,0
d2-poison-nova-necro,d2,0.280165,-0.127726,0.333777,0.178073,0.310463,0
d2-rabies-wolf,d2,-0.070259,0.394129,-0.025565,-0.157440,0.553377,0
d2-sacrifice,d2,,,-0.300476,-1.770896,,0
d2-singer,d2,0.318304,-0.306239,0.202634,-0.308089,0.115685,0
d2-smiter,d2,-0.223662,0.023359,-0.222223,-1.390677,1.414037,0
d2-summon-druid,d2,-0.216536,-0.191361,-0.785722,-0.014476,0.596038,0
d2-summonmancer,d2,-0.776372,0.051389,-0.976299,-0.093906,0.247146,0
d2-throw-barb,d2,0.181567,0.434663,0.050429,0.056790,0.399982,0
d2-trapsin,d2,-0.866397,-0.033299,-1.042719,-0.017451,0.177033,0
d2-wind-druid,d2,0.375773,0.684748,0.206154,0.100525,0.608348,0
d2-wl-abyss,d2,-0.295277,0.396203,-0.079248,-0.063894,0.508289,0
d2-wl-blood-boil,d2,-0.432651,0.273379,-0.299167,0.030497,0.277145,0
d2-wl-echoing-strike,d2,-0.137440,0.188261,0.138945,-0.244667,0.513629,0
d2-wl-fire,d2,-0.295277,0.396203,0.004874,-0.131144,0.606783,0
d2-wl-tainted-summoner,d2,-0.467619,0.326946,-0.205680,-0.025338,0.438994,0
d2-wl-void-rift,d2,-0.341527,0.312117,-0.177690,-0.281824,0.616124,0
d2-ww-barb,d2,0.862183,-1.086168,1.052372,-0.750981,0.385386,1
d2-ww-sin,d2,0.995627,-1.011647,1.087914,-0.756199,0.271607,1
d2-zealot,d2,-0.200541,0.209994,-0.123421,-1.584657,1.796308,0
gd-aar-spellbinder,gd,1.082131,-0.368291,1.078562,-0.146068,0.222251,1
gd-aegis-paladin,gd,0.184732,0.534273,0.111712,0.151253,0.389918,0
gd-belgothian-blademaster,gd,0.017360,-0.061020,-0.087936,-1.389294,1.332441,0
gd-berserker-wereforms,gd,-0.193300,0.082642,-0.150088,-0.499874,0.584117,0
gd-blade-arc-warder,gd,0.146278,-0.210351,0.179631,-0.970200,0.760581,0
gd-blade-trap,gd,,,-0.214772,0.117093,,0
gd-blight-fiend-ritualist,gd,-0.652340,0.031649,-0.529530,-0.231585,0.290473,0
gd-bloody-pox-conjurer,gd,-0.208691,0.278431,-0.030986,0.178525,0.203864,0
gd-bwc-demolitionist,gd,-0.404019,0.017448,-0.280765,-0.098932,0.169516,0
gd-cadence-witchblade,gd,-0.496704,-0.054959,-0.436666,-1.309068,1.255545,0
gd-callidors-tempest-templar,gd,0.374894,-0.203028,0.238478,-0.139218,0.150602,0
gd-canister-saboteur,gd,-0.770314,-0.216470,-0.472527,-0.134492,0.308865,0
gd-dee-witch-hunter,gd,0.190870,0.290803,0.058431,0.026603,0.295535,0
gd-devastation-sorcerer,gd,-0.574859,0.032747,-0.378522,-0.040606,0.209592,0
gd-doom-bolt-sentinel,gd,-0.406702,0.245921,-0.352648,0.068713,0.185269,0
gd-drain-essence-spellbinder,gd,0.980145,0.084146,0.973191,0.030745,0.053852,1
gd-eor-warlord,gd,1.003473,-1.052719,1.119406,-0.763323,0.311754,1
gd-fire-strike-purifier,gd,0.204299,0.191777,0.249195,-0.034096,0.230292,0
gd-flames-of-ignaffar-purifier,gd,1.308865,-0.062852,0.834100,-0.226663,0.502231,1
gd-forcewave-warlord,gd,0.493621,-0.201693,0.547509,-0.090576,0.123495,0
gd-krieg-death-knight,gd,-0.406360,0.020750,-0.347352,-1.024478,1.046893,0
gd-mortar-purifier,gd,-1.102927,-0.354849,-1.239031,0.023582,0.402162,0
gd-panettis-mage-hunter,gd,0.296845,0.611404,0.202548,-0.086693,0.704437,0
gd-pet-conjurer,gd,-0.366521,-0.184143,-0.544597,-0.334766,0.233234,0
gd-phantasmal-blades-witch-hunter,gd,0.283150,0.479848,0.251188,0.282621,0.199801,0
gd-primal-strike-vindicator,gd,-0.215344,0.096778,-0.175378,-1.012563,1.110061,0
gd-ravenous-earth-oppressor,gd,-0.487675,0.127253,-0.570968,0.108834,0.085305,0
gd-reap-spirit,gd,,,-0.978020,0.066839,,0
gd-retaliation-warlord,gd,0.096717,-0.270664,0.716386,-0.981099,0.942713,0
gd-righteous-fervor-dervish,gd,-0.034434,-0.073890,-0.073984,-1.476630,1.403297,0
gd-roh-infiltrator,gd,-0.711539,-0.017824,-0.722755,0.000196,0.021225,0
gd-savagery-warder,gd,-0.206713,-0.077055,-0.129396,-1.372870,1.298120,0
gd-shadow-strike-infiltrator,gd,-0.435160,-0.355813,0.070049,-0.276559,0.511387,0
gd-skeleton-ritualist,gd,-0.822662,-0.652017,-1.175974,-0.110014,0.646991,1
gd-stormbox-elementalist,gd,-0.231549,0.208127,0.006700,0.087217,0.267173,0
gd-stun-jacks,gd,,,0.258830,0.077051,,0
gd-trozan-druid,gd,-0.367458,0.232092,-0.440720,-0.043910,0.285560,0
gd-vires-might-shieldbreaker,gd,-0.203756,-0.390503,0.323465,-0.368095,0.527697,0
gd-vitality-conjurer,gd,-0.534440,0.056062,-0.463524,0.069622,0.072201,0
gd-wendigo-totem-ritualist,gd,-0.963076,-0.339863,-0.902743,0.076976,0.421183,0
gd-word-of-pain-tactician,gd,-0.449388,0.087937,-0.237704,-0.053445,0.254556,0
le-bladestorm-bd,le,0.430573,-0.149171,-0.165569,-0.161420,0.596267,0
le-bomb-lance-falconer,le,0.100023,0.170336,-0.032006,0.095612,0.151708,0
le-chthonic-fissure-warlock,le,0.390788,0.042895,0.084502,0.181155,0.336045,0
le-detonating-arrow-mm,le,0.087446,0.331185,0.127051,0.091891,0.242550,0
le-dive-bomb-falconer,le,-0.354603,0.203538,-0.548924,-0.030433,0.304144,0
le-erasing-strike-vk,le,-0.576164,0.224212,-0.181888,-1.057108,1.340609,0
le-explosive-trap-falconer,le,-0.538621,-0.032370,-0.922671,-0.072940,0.386188,0
le-fire-aura-spellblade,le,0.380661,-0.625547,0.033624,-0.029702,0.689540,1
le-flame-reave-spellblade,le,0.038320,0.126216,0.042625,-0.168453,0.294700,0
le-frost-claw,le,0.797457,0.635188,0.404243,0.090259,0.671986,0
le-frost-wall-rm,le,-0.429516,0.023824,-0.530289,0.036723,0.101595,0
le-ghostflame-warlock,le,1.139086,-0.441093,0.838552,0.088602,0.609013,1
le-hammer-throw-paladin,le,0.451077,-0.048933,0.757390,-0.288770,0.389036,0
le-harvest-lich,le,-0.086941,0.109967,-0.067136,-0.926092,1.036248,0
le-healing-hands-paladin,le,-0.152207,0.105693,-0.101776,-0.330666,0.439264,1
le-judgement-paladin,le,-0.179404,-0.012218,-0.103339,-0.037257,0.080080,0
le-lightning-blast,le,0.512877,0.707493,0.490422,0.183975,0.523999,0
