dim,rank,block,level,loading,abs_loading
1,1,gb_width,other-rare,1.862790,1.862790
1,2,gb_motion,point_strike,-1.690055,1.690055
1,3,gb_delivery,melee_arc,-1.631682,1.631682
1,4,commit,wind-up,-1.487243,1.487243
1,5,gb_motion,arc_sweep,-1.443090,1.443090
1,6,geometry,melee_strike,-1.356746,1.356746
1,7,gb_range,melee,-1.353460,1.353460
1,8,gb_cadence,other-rare,-1.293737,1.293737
1,9,gb_delivery,beam,1.240225,1.240225
1,10,gb_speed,other-rare,1.105195,1.105195
1,11,delivery,projectile,0.956802,0.956802
1,12,function,stun,-0.945294,0.945294
1,13,geometry,chain,0.911696,0.911696
1,14,commit,channel,0.881083,0.881083
1,15,defense,absorb,0.849335,0.849335
1,16,delivery,other-rare,0.830852,0.830852
1,17,gb_speed,fast,-0.822537,0.822537
1,18,gb_motion,straight_line,0.816274,0.816274
1,19,gb_motion,fan_spread,0.802530,0.802530
1,20,gb_delivery,projectile,0.781597,0.781597
1,21,geometry,other-rare,0.716047,0.716047
1,22,range,melee,-0.707004,0.707004
1,23,gb_motion,other-rare,0.660226,0.660226
1,24,gb_range,other-rare,0.656270,0.656270
1,25,gb_cadence,channel,0.585307,0.585307
2,1,gb_width,other-rare,2.476850,2.476850
2,2,gb_delivery,summon_delegate,-1.912322,1.912322
2,3,gb_motion,orbit_fixed,1.714069,1.714069
2,4,commit,channel,1.690000,1.690000
2,5,gb_cadence,channel,1.456842,1.456842
2,6,proxy,heavy,-1.425155,1.425155
2,7,gb_cadence,cooldown,-1.418645,1.418645
2,8,gb_delivery,motion,1.377137,1.377137
2,9,geometry,totem,-1.357342,1.357342
2,10,economy,cooldown,-1.096810,1.096810
2,11,dependency,apply→detonate,-0.987154,0.987154
2,12,delivery,other-rare,0.967151,0.967151
2,13,delivery,self-origin,0.926489,0.926489
2,14,gb_motion,arc_sweep,0.925964,0.925964
2,15,gb_range,melee,0.868182,0.868182
2,16,gb_delivery,beam,0.853349,0.853349
2,17,economy,other-rare,-0.850560,0.850560
2,18,geometry,other-rare,0.808125,0.808125
2,19,geometry,melee_strike,0.763744,0.763744
2,20,gb_motion,ground_place,-0.696394,0.696394
2,21,gb_delivery,melee_arc,0.678615,0.678615
2,22,gb_cadence,other-rare,0.661425,0.661425
2,23,dependency,build→spend,0.648053,0.648053
2,24,gb_motion,point_strike,0.602055,0.602055
2,25,economy,generator-spender,0.587690,0.587690
