kit_id,corpus_class,court,game,e4_x,e4_y,e4_source,e5_x_aligned,e5_y_aligned,supplementary,displacement,mover_rank
chr-arrow-storm-warden,annex,,chronicon,0.353141,0.339829,stored,0.209795,-0.054700,1,0.419763,314
chr-bee-warden,annex,,chronicon,0.087226,-0.525449,stored,-0.145968,-0.059132,1,0.521374,246
chr-bleed-berserker,annex,,chronicon,-0.157188,-0.094623,stored,-0.113968,-0.652906,1,0.559954,212
chr-bloodbinder-warlock,annex,,chronicon,0.071213,-0.317466,stored,-0.020832,0.005032,1,0.335377,381
chr-demon-legion-warlock,annex,,chronicon,0.070482,-1.103770,stored,-0.061726,-0.109863,1,1.002662,64
chr-fire-berserker,annex,,chronicon,-0.016081,-0.154225,stored,0.123056,-0.496057,1,0.369064,363
chr-firestorm-warlock,annex,,chronicon,-0.329948,0.283718,stored,-0.282357,-0.262327,1,0.548115,219
chr-frost-berserker,annex,,chronicon,-0.319949,0.016815,stored,-0.199312,-0.407998,1,0.441610,293
chr-fulmination-templar,annex,,chronicon,-0.341098,-0.117590,stored,-0.265666,-0.764421,1,0.651215,161
chr-high-ranger-warden,annex,,chronicon,0.115637,0.463950,stored,0.001047,-0.071464,1,0.547539,221
chr-mechanist-rocketeer,annex,,chronicon,0.140551,0.004593,stored,-0.073518,-0.028854,1,0.216666,465
chr-mechanist-saw-master,annex,,chronicon,0.188751,0.584672,stored,0.097242,-0.089240,1,0.680097,151
chr-mechanist-turret-drone,annex,,chronicon,-0.569147,-0.237269,stored,-0.576263,-0.143080,1,0.094457,539
chr-pet-warden,annex,,chronicon,0.032966,-1.096492,stored,-0.130694,-0.239143,1,0.872829,78
chr-plague-curse-warlock,annex,,chronicon,-0.210779,0.436959,stored,-0.255561,-0.324310,1,0.762586,102
chr-thorns-templar,annex,,chronicon,0.253863,-0.424742,stored,0.208620,-0.409788,1,0.047651,555
d3-akkhan-condemn,annex,,d3,0.074158,-0.208737,stored,0.072034,-0.344109,1,0.135389,522
d3-aov-foth,annex,,d3,-0.141959,0.232350,stored,-0.110742,-0.284166,1,0.517458,250
d3-arachyr-firebats,annex,,d3,1.023126,-0.544066,stored,0.602541,-0.418485,1,0.438933,297
d3-call-of-the-ancients,annex,,d3,-1.158420,-0.527402,stored,-0.943418,-0.415853,1,0.242217,454
d3-dashing-strike-monk,annex,,d3,0.094619,-0.468390,stored,0.481331,-0.431727,1,0.388446,347
d3-dmo-twister,annex,,d3,0.000290,0.390383,stored,0.033264,0.018672,1,0.373171,360
d3-firebird,annex,,d3,-0.333424,0.052419,stored,-0.224419,-0.371722,1,0.437924,298
d3-firebomb,annex,,d3,0.221870,0.406222,projected,0.054768,-0.163536,1,0.593757,196
d3-frenzy-h90,annex,,d3,-0.103060,0.288330,stored,-0.114946,-0.553937,1,0.842351,83
d3-god-hungering,annex,,d3,0.582055,0.029346,stored,0.441839,-0.355304,1,0.409409,324
d3-helltooth-garg,annex,,d3,-0.440883,-0.340257,stored,-0.521347,-0.175781,1,0.183103,492
d3-ik-hota,annex,,d3,-0.309584,0.075608,stored,-0.230759,-0.459843,1,0.541221,231
d3-inarius-bonestorm,annex,,d3,0.242472,0.031989,stored,0.185142,-0.278578,1,0.315814,392
d3-inna-allies,annex,,d3,-0.635963,-0.543687,stored,-0.634365,-0.300485,1,0.243207,451
d3-invoker-thorns,annex,,d3,0.096717,-0.270664,stored,0.127747,-0.693516,1,0.423990,310
d3-jade-harvester,annex,,d3,-0.626277,-0.004065,stored,-0.426223,-0.341042,1,0.391887,343
d3-leapquake,annex,,d3,-0.459571,-0.369971,stored,-0.169858,-0.354749,1,0.290113,420
d3-lod-bazooka,annex,,d3,-0.569147,0.301262,stored,-0.278750,-0.455911,1,0.810950,88
d3-lon-bombardment,annex,,d3,-0.587077,0.068161,stored,-0.471166,-0.318719,1,0.403871,328
