kit_id,corpus_class,court,supplementary,cutA_cluster,cutB_cluster,e4_x,e4_y,e5_x_aligned,e5_y_aligned
chr-arrow-storm-warden,annex,,1,,,0.353141,0.339829,0.209795,-0.054700
chr-bee-warden,annex,,1,C,,0.087226,-0.525449,-0.145968,-0.059132
chr-bleed-berserker,annex,,1,,,-0.157188,-0.094623,-0.113968,-0.652906
chr-bloodbinder-warlock,annex,,1,C,,0.071213,-0.317466,-0.020832,0.005032
chr-demon-legion-warlock,annex,,1,,,0.070482,-1.103770,-0.061726,-0.109863
chr-fire-berserker,annex,,1,,,-0.016081,-0.154225,0.123056,-0.496057
chr-firestorm-warlock,annex,,1,A,,-0.329948,0.283718,-0.282357,-0.262327
chr-frost-berserker,annex,,1,E,,-0.319949,0.016815,-0.199312,-0.407998
chr-fulmination-templar,annex,,1,,,-0.341098,-0.117590,-0.265666,-0.764421
chr-high-ranger-warden,annex,,1,B,,0.115637,0.463950,0.001047,-0.071464
chr-mechanist-rocketeer,annex,,1,,,0.140551,0.004593,-0.073518,-0.028854
chr-mechanist-saw-master,annex,,1,,,0.188751,0.584672,0.097242,-0.089240
chr-mechanist-turret-drone,annex,,1,F,,-0.569147,-0.237269,-0.576263,-0.143080
chr-pet-warden,annex,,1,,,0.032966,-1.096492,-0.130694,-0.239143
chr-plague-curse-warlock,annex,,1,,,-0.210779,0.436959,-0.255561,-0.324310
chr-thorns-templar,annex,,1,,,0.253863,-0.424742,0.208620,-0.409788
d3-akkhan-condemn,annex,,1,C,,0.074158,-0.208737,0.072034,-0.344109
d3-aov-foth,annex,,1,A,,-0.141959,0.232350,-0.110742,-0.284166
d3-arachyr-firebats,annex,,1,,,1.023126,-0.544066,0.602541,-0.418485
d3-call-of-the-ancients,annex,,1,,,-1.158420,-0.527402,-0.943418,-0.415853
d3-dashing-strike-monk,annex,,1,C,,0.094619,-0.468390,0.481331,-0.431727
d3-dmo-twister,annex,,1,,,0.000290,0.390383,0.033264,0.018672
d3-firebird,annex,,1,E,,-0.333424,0.052419,-0.224419,-0.371722
d3-firebomb,annex,,1,,,0.221870,0.406222,0.054768,-0.163536
d3-frenzy-h90,annex,,1,A,,-0.103060,0.288330,-0.114946,-0.553937
d3-god-hungering,annex,,1,,,0.582055,0.029346,0.441839,-0.355304
d3-helltooth-garg,annex,,1,,,-0.440883,-0.340257,-0.521347,-0.175781
d3-ik-hota,annex,,1,E,,-0.309584,0.075608,-0.230759,-0.459843
d3-inarius-bonestorm,annex,,1,,,0.242472,0.031989,0.185142,-0.278578
d3-inna-allies,annex,,1,,,-0.635963,-0.543687,-0.634365,-0.300485
d3-invoker-thorns,annex,,1,C,,0.096717,-0.270664,0.127747,-0.693516
d3-jade-harvester,annex,,1,,,-0.626277,-0.004065,-0.426223,-0.341042
d3-leapquake,annex,,1,,,-0.459571,-0.369971,-0.169858,-0.354749
d3-lod-bazooka,annex,,1,,,-0.569147,0.301262,-0.278750,-0.455911
d3-lon-bombardment,annex,,1,,,-0.587077,0.068161,-0.471166,-0.318719
d3-m6-sentries,annex,,1,F,,-0.567643,-0.178080,-0.549690,-0.246032
d3-manald-heal,annex,,1,A,,-0.180872,0.392759,-0.157627,-0.332065
d3-masquerade-spear,annex,,1,D,,0.122255,0.459549,-0.026267,-0.009355
d3-mundunugu-sb,annex,,1,,,-0.386768,-0.110918,-0.372883,-0.142104
d3-natalya-rov,annex,,1,,,-0.590635,-0.068729,-0.493520,-0.236797
d3-pestilence-lance,annex,,1,,,-0.342234,0.319309,-0.290321,-0.222721
d3-poj-tempest-rush,annex,,1,,,0.749274,-0.591003,0.610863,-0.392194
d3-raekor-boulder,annex,,1,,,-0.310872,-0.312281,0.028469,-0.638606
d3-raiment-shenlong,annex,,1,A,,-0.052012,0.048151,-0.023950,-0.809971
d3-rathma-aotd,annex,,1,,,-0.777121,-0.036209,-0.632823,-0.117549
d3-rolands,annex,,1,C,,0.374894,-0.203028,0.295162,-0.381410
d3-s6-impale,annex,,1,A,,0.000333,0.165397,-0.074256,-0.546042
d3-shield-bash,annex,,1,,,-0.383034,-0.151729,-0.269470,-0.611807
d3-sotl-hammer,annex,,1,,,0.321821,0.137171,0.197711,-0.172450
d3-spectral-blade,annex,,1,C,,0.436920,-0.254211,0.337908,-0.548429
d3-sunwuko-wol,annex,,1,A,,-0.237177,0.106225,-0.231538,-0.287725
d3-tal-meteor,annex,,1,,,-0.768570,0.078578,-0.456392,-0.485820
d3-trag-nova,annex,,1,C,,0.298968,-0.303246,0.222533,-0.345660
d3-typhon-hydra,annex,,1,,,-0.490218,-0.106112,-0.513944,-0.101177
d3-ue-multishot,annex,,1,,,0.367521,0.299625,0.212514,-0.067849
d3-uliana-ep,annex,,1,,,-0.525787,-0.403305,-0.163934,-0.525656
d3-vyr-archon,annex,,1,,,-0.180558,-0.440123,-0.084358,-0.396253
d3-wave-of-force,annex,,1,,,0.199771,-0.499536,0.152977,-0.376853
d3-wizard-black-hole,annex,,1,A,,0.001035,0.242820,0.088874,-0.146054
d3-ww-wastes,annex,,1,,,0.989093,-1.012515,0.713894,-0.405152
d3-zbarb,annex,,1,,,-0.203916,-0.219933,-0.109054,-0.342289
d3-zero-dogs,annex,,1,A,,-0.272135,0.261128,-0.224435,-0.426381
d3-znec,annex,,1,,,-0.437062,-0.029968,-0.388381,-0.244612
d3-zuni-carnevil,annex,,1,A,,-0.225687,0.223217,-0.311054,-0.150591
d4-andariel-flurry,annex,,1,A,,-0.179783,0.021127,-0.151145,-0.522024
d4-auradin-paladin,annex,,1,,,0.244478,-0.619839,0.154770,-0.252594
d4-ball-lightning,annex,,1,D,,0.272825,0.088294,0.267354,-0.312398
d4-bash,annex,,1,A,,-0.202869,0.040473,-0.088879,-0.686747
d4-blade-shift,annex,,1,,,0.434142,-0.363518,0.373588,-0.548977
d4-blazing-abyss-warlock,annex,,1,A,,-0.361934,0.232067,-0.211904,-0.349636
d4-blood-lance,annex,,1,B,,0.262875,0.555548,0.164017,0.008275
d4-blood-surge,annex,,1,C,,0.139364,-0.257648,0.145773,-0.401886
d4-blood-wave,annex,,1,,,0.106728,-0.693432,0.004904,-0.185542
d4-bone-spear,annex,,1,,,0.074781,0.509570,-0.006348,-0.112227
d4-bouldercane,annex,,1,,,0.242472,0.031989,0.220744,-0.366192
d4-cataclysm,annex,,1,C,,0.083883,-0.200213,0.036461,-0.092503
d4-chain-lightning,annex,,1,B,,0.324636,0.662956,0.239185,0.024301
d4-dance-of-knives,annex,,1,,,0.718972,-0.383208,0.558214,-0.336655
d4-death-trap,annex,,1,,,-1.058389,-0.352380,-0.866147,-0.061614
d4-dread-claws-warlock,annex,,1,E,,-0.357157,-0.007431,-0.232235,-0.384318
d4-earthquake-barb,annex,,1,,,-0.350951,-0.389005,-0.108746,-0.330669
d4-evade-sb,annex,,1,C,,0.130121,-0.486152,0.345952,-0.502037
d4-flame-shield-immortal,annex,,1,,,0.008658,-0.466026,-0.045409,-0.277701
d4-frozen-orb,annex,,1,B,,0.331468,0.494895,0.179928,-0.015330
d4-hammerdin-paladin,annex,,1,,,0.292830,0.077526,0.185214,-0.298567
d4-heartseeker,annex,,1,D,,0.165719,0.372959,0.083676,-0.312923
d4-hota,annex,,1,E,,-0.375349,0.032942,-0.262012,-0.437535
d4-ice-shards,annex,,1,B,,0.224420,0.514614,0.080969,-0.036773
d4-incinerate,annex,,1,,,1.624780,-0.565132,0.877390,-0.190345
d4-infinimist,annex,,1,,,-0.404638,-0.338782,-0.232939,-0.103763
d4-kick,annex,,1,,,-0.383034,-0.151729,-0.269470,-0.611807
d4-lightning-spear,annex,,1,F,,-0.499215,-0.074365,-0.508392,-0.109927
d4-lightning-storm,annex,,1,,,0.819772,-0.386346,0.645875,-0.336026
d4-mighty-throw,annex,,1,F,,-0.610210,-0.197116,-0.574618,-0.158483
d4-minion-necro,annex,,1,,,-0.347332,-0.303838,-0.481269,-0.268273
d4-payback-sb,annex,,1,,,-0.047674,-0.187263,0.022729,-0.430073
d4-pen-shot,annex,,1,,,0.170382,0.073175,0.144931,-0.102188
d4-pulverize,annex,,1,E,,-0.288024,0.006815,-0.195046,-0.505457
d4-quill-volley,annex,,1,B,,0.321437,0.440532,0.164034,-0.041773
d4-rabies-lacerate,annex,,1,A,,-0.022260,0.187472,-0.029973,-0.394104
d4-rapid-fire,annex,,1,D,,0.164215,0.313770,0.057103,-0.209970
d4-shadowblight,annex,,1,,,-0.683562,0.144260,-0.445686,-0.069630
d4-spiritborn-vortex,annex,,1,A,,-0.154070,0.065458,0.081216,-0.626829
d4-thorns-barb,annex,,1,,,0.111146,-0.054962,0.113870,-0.496119
d4-tornado-werewolf,annex,,1,B,,0.271892,0.487905,0.103104,-0.001558
d4-touch-of-death,annex,,1,F,,-0.574049,-0.189533,-0.478621,-0.341980
d4-twisting-blades,annex,,1,A,,0.040518,0.114394,-0.060937,-0.391201
d4-wind-shear,annex,,1,B,,0.402358,0.622909,0.303393,-0.191510
d4-wing-strike-arbiter,annex,,1,,,-0.337188,-0.057421,-0.284488,-0.416040
d4-ww-dust-devils,annex,,1,,,0.695344,-0.409024,0.519634,-0.356446
di-blood-knight,annex,,1,,,-0.274157,-0.017414,-0.120037,-0.415326
di-bombardment-wizard-pvp,annex,,1,A,,-0.407767,0.116054,-0.331324,-0.252818
di-bone-wall-necro-pvp,annex,,1,,,0.139183,0.239822,-0.006779,-0.239118
di-corpse-explosion-necro,annex,,1,,,-0.287684,0.202329,-0.297809,-0.245939
di-crusader-banner-support,annex,,1,,,-0.552131,-0.237833,-0.516127,-0.349735
di-cyclone-monk-pvp,annex,,1,C,,0.099786,-0.389776,0.071717,-0.455876
di-cyclone-strike-monk-base,annex,,1,E,,-0.283969,-0.004998,0.004864,-0.665658
di-draw-quarter-crusader,annex,,1,,,-0.040799,-0.741599,0.021157,-0.336887
di-druid-bear,annex,,1,,,0.014034,-0.989020,-0.178008,-0.337466
di-frenzy-barb,annex,,1,,,0.121868,0.057892,0.190356,-0.492012
di-hota-wotb-barb,annex,,1,F,,-0.558025,-0.128231,-0.433494,-0.596590
di-meteor-wizard,annex,,1,,,-0.646847,0.232374,-0.368452,-0.480392
di-minion-necro,annex,,1,,,0.068342,-0.958983,-0.070108,0.076889
di-monk-sss,annex,,1,,,-0.049663,-0.290598,-0.286499,-0.566896
di-multishot-dh,annex,,1,,,0.697220,0.534147,0.360725,-0.125554
di-ray-of-frost-wizard,annex,,1,,,1.028713,-0.531191,0.516436,-0.190282
di-spiritform-druid-pvp,annex,,1,C,,0.073588,-0.307486,-0.032726,-0.136747
di-tempest,annex,,1,C,,0.246449,-0.349966,-0.063590,-0.173148
di-vengeance-strafe-dh,annex,,1,,,0.457894,0.344802,0.136730,-0.052319
di-warlock-launch,annex,,1,F,,-0.499821,-0.003948,-0.405499,-0.128926
di-whirlwind-barb,annex,,1,,,1.057511,-1.561857,0.595225,-0.270149
hades1-ares-doom,annex,,1,,,-0.385010,0.425372,-0.253077,-0.742485
hades1-aspect-chiron,annex,,1,B,,0.252748,0.475487,0.088346,-0.445073
hades1-aspect-guan-yu,annex,,1,,,0.426257,-0.838615,0.240005,-0.368163
hades1-athena-dash,annex,,1,,,-0.005986,-0.556009,0.128242,-0.447657
hades1-beowulf-cast,annex,,1,A,,-0.038167,0.177411,-0.197162,-0.519150
hades1-merciful-end,annex,,1,,,-0.286201,-0.328645,-0.068705,-0.361631
hades1-zeus-chain,annex,,1,B,,0.265677,0.591397,0.148107,-0.107478
hades2-glorious-disaster,annex,,1,,,-0.096387,-0.494777,-0.064253,-0.388436
hades2-hail-storm,annex,,1,A,,-0.195523,0.353696,-0.194889,-0.336676
hades2-hephaestus-blast,annex,,1,,,-0.800364,0.278332,-0.450344,-0.671931
hades2-medea-skull-cast,annex,,1,,,-0.293811,0.388693,-0.219887,-0.307698
hot-archer,annex,,1,B,,0.401204,0.549966,0.217076,-0.004281
hot-astronomer-orbs,annex,,1,,,0.337810,-0.566288,0.195548,-0.336649
hot-blood-catcher,annex,,1,,,0.051275,-0.010692,-0.184582,-0.426216
hot-cleric-radiant,annex,,1,,,0.360167,-0.719886,0.230783,-0.377745
hot-dragons-breath,annex,,1,,,0.867015,0.388336,0.306259,-0.162089
hot-exterminator-burn,annex,,1,,,0.966728,0.344078,0.366797,-0.110994
hot-kugelblitz,annex,,1,C,,0.159440,-0.384721,-0.106561,-0.126641
hot-landsknecht-grenades,annex,,1,A,,0.109659,0.126115,-0.005185,0.001848
hot-meteor-strike,annex,,1,,,-0.196262,-0.214762,-0.322339,-0.083509
hot-norseman-frost-avalanche,annex,,1,A,,-0.328103,0.118629,-0.306652,-0.370809
hot-phantom-needles,annex,,1,,,0.488804,-0.071386,0.257638,0.008004
hot-sage-ring-blades,annex,,1,,,0.545223,0.020297,0.430552,-0.123524
hot-shieldmaiden-block,annex,,1,C,,0.210526,-0.405250,0.090957,-0.318015
hot-sorceress-splinters,annex,,1,B,,0.401204,0.549966,0.217076,-0.004281
hot-spirit-warrior,annex,,1,,,-0.199614,-0.286748,-0.279771,-0.338148
hot-swordsman,annex,,1,C,,0.332938,-0.247390,0.252700,-0.349813
