kit_id,family,tag,corpus_class,placed_in_574,e4_x,e4_y,e5_x_aligned,e5_y_aligned,displacement
poe1-aurastacker,AURA,propagated,record,1,0.488713,-0.409831,0.348386,-0.129815,0.313210
poe2-grim-feast,AURA,propagated,system,1,0.391656,-0.664648,0.268469,-0.212221,0.468898
d2-auradin,AURA,ratified,record,1,0.417800,-0.066958,0.278157,-1.047543,0.990478
d4-auradin-paladin,AURA,ratified,annex,1,0.244478,-0.619839,0.154770,-0.252594,0.378043
hot-cleric-radiant,AURA,ratified,annex,1,0.360167,-0.719886,0.230783,-0.377745,0.365787
le-fire-aura-spellblade,AURA,ratified,record,1,0.380661,-0.625547,0.033624,-0.029702,0.689540
poe1-aurabot,AURA,ratified,record,1,0.335493,-0.288550,0.250405,-0.004169,0.296837
poe1-deaths-oath,AURA,ratified,record,1,0.339591,-0.351505,0.266301,-0.044323,0.315804
poe1-righteous-fire,AURA,ratified,record,1,0.271361,-0.136898,0.267551,-0.174232,0.037528
vs-soul-eater,AURA,ratified,annex,1,0.416758,-0.616675,0.303402,-0.276615,0.358455
d3-arachyr-firebats,CHANNELED-BEAM,ratified,annex,1,1.023126,-0.544066,0.602541,-0.418485,0.438933
di-ray-of-frost-wizard,CHANNELED-BEAM,ratified,annex,1,1.028713,-0.531191,0.516436,-0.190282,0.615343
gd-aar-spellbinder,CHANNELED-BEAM,ratified,record,1,1.082131,-0.368291,1.078562,-0.146068,0.222251
gd-drain-essence-spellbinder,CHANNELED-BEAM,ratified,record,1,0.980145,0.084146,0.973191,0.030745,0.053852
gd-flames-of-ignaffar-purifier,CHANNELED-BEAM,ratified,record,1,1.308865,-0.062852,0.834100,-0.226663,0.502231
le-ghostflame-warlock,CHANNELED-BEAM,ratified,record,1,1.139086,-0.441093,0.838552,0.088602,0.609013
poe1-divine-ire,CHANNELED-BEAM,ratified,record,1,0.926367,-0.313476,0.977642,-0.076947,0.242023
poe1-incinerate,CHANNELED-BEAM,ratified,record,1,1.388631,0.046582,1.075564,-0.229075,0.417131
ud-flamethrower-channel,CHANNELED-BEAM,ratified,annex,1,1.390252,-0.321222,0.653074,-0.131025,0.761319
chr-demon-legion-warlock,MINION-PET,ratified,annex,1,0.070482,-1.103770,-0.061726,-0.109863,1.002662
chr-pet-warden,MINION-PET,ratified,annex,1,0.032966,-1.096492,-0.130694,-0.239143,0.872829
di-minion-necro,MINION-PET,ratified,annex,1,0.068342,-0.958983,-0.070108,0.076889,1.045083
tl2-bot-engineer,MINION-PET,ratified,annex,1,-0.591191,-0.938119,-0.711742,-0.070024,0.876426
tl2-shadowling-outlander,MINION-PET,ratified,annex,1,-0.396562,-0.687241,-0.505901,-0.163867,0.534673
tli-moto-bots,MINION-PET,ratified,annex,1,-0.591191,-0.938119,-0.711742,-0.070024,0.876426
tq-petmaster-summoner,MINION-PET,ratified,annex,1,0.071358,-1.268322,-0.055382,-0.177299,1.098360
d2-fire-sorc,TOTEM-SENTRY,propagated,record,1,-0.175732,0.214517,0.016972,0.038201,0.261194
d2-hydra-sorc,TOTEM-SENTRY,propagated,record,1,-0.686750,-0.272817,-1.015200,0.054006,0.463349
d2-trapsin,TOTEM-SENTRY,propagated,record,1,-0.866397,-0.033299,-1.042719,-0.017451,0.177033
d3-inna-allies,TOTEM-SENTRY,propagated,annex,1,-0.635963,-0.543687,-0.634365,-0.300485,0.243207
d3-typhon-hydra,TOTEM-SENTRY,propagated,annex,1,-0.490218,-0.106112,-0.513944,-0.101177,0.024233
d4-lightning-spear,TOTEM-SENTRY,propagated,annex,1,-0.499215,-0.074365,-0.508392,-0.109927,0.036727
di-crusader-banner-support,TOTEM-SENTRY,propagated,annex,1,-0.552131,-0.237833,-0.516127,-0.349735,0.117551
gd-mortar-purifier,TOTEM-SENTRY,propagated,record,1,-1.102927,-0.354849,-1.239031,0.023582,0.402162
gd-wendigo-totem-ritualist,TOTEM-SENTRY,propagated,record,1,-0.963076,-0.339863,-0.902743,0.076976,0.421183
le-explosive-trap-falconer,TOTEM-SENTRY,propagated,record,1,-0.538621,-0.032370,-0.922671,-0.072940,0.386188
le-ring-of-shields,TOTEM-SENTRY,propagated,record,1,-0.207874,-0.374587,-0.121955,-0.234583,0.164265
le-shadow-bladedancer,TOTEM-SENTRY,propagated,record,1,-0.352247,-0.101640,-0.768511,-0.224021,0.433881
poe1-armageddon-brand,TOTEM-SENTRY,propagated,record,1,-0.561422,-0.114100,-0.519735,0.032478,0.152391
poe1-generals-cry,TOTEM-SENTRY,propagated,record,1,-0.440779,-0.159926,-0.555838,-0.101270,0.129148
poe1-golementalist,TOTEM-SENTRY,propagated,record,1,-0.213247,-0.222452,-0.773696,0.048015,0.622298
poe1-heavy-strike-stun,TOTEM-SENTRY,propagated,record,1,-0.604023,-0.174121,-0.484020,-1.135679,0.969017
poe1-icicle-mines,TOTEM-SENTRY,propagated,record,1,-0.474020,0.010553,-0.289697,-0.151356,0.245335
poe1-storm-brand,TOTEM-SENTRY,propagated,record,1,-0.452089,0.081594,-0.109727,0.047696,0.344036
poe2-archmage-totems,TOTEM-SENTRY,propagated,record,1,-1.019149,-0.162770,-1.122930,0.090673,0.273868
poe2-supporting-fire,TOTEM-SENTRY,propagated,record,1,-0.279809,-0.205701,-0.415259,0.015361,0.259259
tq-druid-squall-caster,TOTEM-SENTRY,propagated,annex,1,-0.300854,0.139571,-0.274595,-0.149938,0.290698
tq-trap-magician,TOTEM-SENTRY,propagated,annex,1,-0.760271,-0.209236,-0.815766,-0.167897,0.069200
chr-mechanist-turret-drone,TOTEM-SENTRY,ratified,annex,1,-0.569147,-0.237269,-0.576263,-0.143080,0.094457
d3-m6-sentries,TOTEM-SENTRY,ratified,annex,1,-0.567643,-0.178080,-0.549690,-0.246032,0.070284
d3-mundunugu-sb,TOTEM-SENTRY,ratified,annex,1,-0.386768,-0.110918,-0.372883,-0.142104,0.034137
d4-death-trap,TOTEM-SENTRY,ratified,annex,1,-1.058389,-0.352380,-0.866147,-0.061614,0.348571
d4-mighty-throw,TOTEM-SENTRY,ratified,annex,1,-0.610210,-0.197116,-0.574618,-0.158483,0.052529
d4-touch-of-death,TOTEM-SENTRY,ratified,annex,1,-0.574049,-0.189533,-0.478621,-0.341980,0.179851
gd-skeleton-ritualist,TOTEM-SENTRY,ratified,record,1,-0.822662,-0.652017,-1.175974,-0.110014,0.646991
le-skeleton-necro,TOTEM-SENTRY,ratified,record,1,-0.567007,-0.382056,-0.518701,-0.287534,0.106151
le-squirrel-bm,TOTEM-SENTRY,ratified,record,1,-0.440096,-0.308403,-0.409801,-0.586712,0.279953
le-storm-totem-shaman,TOTEM-SENTRY,ratified,record,1,-0.753381,-0.312785,-0.878650,-0.265602,0.133861
le-wraithlord-necro,TOTEM-SENTRY,ratified,record,1,-0.638445,-0.210144,-0.639552,-0.019899,0.190248
poe1-ea-ballista,TOTEM-SENTRY,ratified,record,1,-1.088547,-0.395053,-1.236879,0.013170,0.434337
poe1-fire-trap,TOTEM-SENTRY,ratified,record,1,-1.088547,-0.395053,-0.889660,0.026041,0.465700
poe1-forbidden-rite,TOTEM-SENTRY,ratified,record,1,-0.658482,-0.213155,-0.435135,0.133184,0.412110
poe1-glacial-cascade-mines,TOTEM-SENTRY,ratified,record,1,-0.951606,-0.267038,-0.547929,0.041033,0.507802
poe1-pizza-sticks,TOTEM-SENTRY,ratified,record,1,-1.088547,-0.395053,-0.521435,-0.055662,0.660910
poe1-seismic-trap,TOTEM-SENTRY,ratified,record,1,-0.979928,-0.414086,-0.813481,-0.813959,0.433132
poe1-siege-ballista,TOTEM-SENTRY,ratified,record,1,-0.666243,-0.325536,-1.097812,-0.016411,0.530858
poe1-warchief,TOTEM-SENTRY,ratified,record,1,-0.935831,-0.514512,-1.205294,-0.142207,0.459588
poe2-infernal-legion,TOTEM-SENTRY,ratified,record,1,-0.563882,-0.690671,-0.528491,-0.166532,0.525332
poe2-minion-infernalist,TOTEM-SENTRY,ratified,record,1,-0.566022,-0.545883,-0.984506,0.032703,0.714067
poe2-warbringer-totems,TOTEM-SENTRY,ratified,record,1,-0.834954,-0.439401,-1.152419,-0.218791,0.386591
tq-battlemage-warfare-earth,TOTEM-SENTRY,ratified,annex,1,-0.311778,-0.435923,-0.375289,-0.254069,0.192625
tq2-forge-turrets,TOTEM-SENTRY,ratified,annex,1,-0.813569,-0.281295,-0.802856,-0.140577,0.141125
d2-kicksin,TRAP-MINE,propagated,record,1,-0.096527,0.289198,-0.177755,-1.301391,1.592662
d2-rabies-wolf,TRAP-MINE,propagated,record,1,-0.070259,0.394129,-0.025565,-0.157440,0.553377
d2-smiter,TRAP-MINE,propagated,record,1,-0.223662,0.023359,-0.222223,-1.390677,1.414037
d2-summonmancer,TRAP-MINE,propagated,record,1,-0.776372,0.051389,-0.976299,-0.093906,0.247146
d3-zero-dogs,TRAP-MINE,propagated,annex,1,-0.272135,0.261128,-0.224435,-0.426381,0.689161
d3-zuni-carnevil,TRAP-MINE,propagated,annex,1,-0.225687,0.223217,-0.311054,-0.150591,0.383432
d4-andariel-flurry,TRAP-MINE,propagated,annex,1,-0.179783,0.021127,-0.151145,-0.522024,0.543906
d4-ice-shards,TRAP-MINE,propagated,annex,1,0.224420,0.514614,0.080969,-0.036773,0.569741
gd-aegis-paladin,TRAP-MINE,propagated,record,1,0.184732,0.534273,0.111712,0.151253,0.389918
gd-blade-arc-warder,TRAP-MINE,propagated,record,1,0.146278,-0.210351,0.179631,-0.970200,0.760581
gd-blight-fiend-ritualist,TRAP-MINE,propagated,record,1,-0.652340,0.031649,-0.529530,-0.231585,0.290473
gd-bwc-demolitionist,TRAP-MINE,propagated,record,1,-0.404019,0.017448,-0.280765,-0.098932,0.169516
gd-primal-strike-vindicator,TRAP-MINE,propagated,record,1,-0.215344,0.096778,-0.175378,-1.012563,1.110061
poe1-hexblast-mines,TRAP-MINE,propagated,record,1,-0.691514,0.084811,-0.454111,-0.042141,0.269216
poe1-spectres,TRAP-MINE,propagated,record,1,-0.345262,0.174103,-0.748512,-0.032767,0.453217
poe1-srs,TRAP-MINE,propagated,record,1,-0.281842,0.183590,-0.759585,-0.073441,0.542497
poe1-toxic-rain,TRAP-MINE,propagated,record,1,-0.142768,0.396745,-0.141072,-0.025996,0.422745
poe2-walking-calamity,TRAP-MINE,propagated,record,1,0.307206,-0.285360,0.021762,-0.173158,0.306705
tq-onslaught-assassin,TRAP-MINE,propagated,annex,1,0.069039,0.144650,0.026326,-0.779588,0.925225
vs-runetracer-no-future,TRAP-MINE,propagated,annex,1,0.376589,0.678361,0.161727,0.036487,0.676882
chr-fire-berserker,TRAP-MINE,ratified,annex,1,-0.016081,-0.154225,0.123056,-0.496057,0.369064
chr-firestorm-warlock,TRAP-MINE,ratified,annex,1,-0.329948,0.283718,-0.282357,-0.262327,0.548115
chr-fulmination-templar,TRAP-MINE,ratified,annex,1,-0.341098,-0.117590,-0.265666,-0.764421,0.651215
d2-frenzy-barb,TRAP-MINE,ratified,record,1,-0.069592,0.076645,-0.128134,-1.405242,1.483043
d2-horker,TRAP-MINE,ratified,record,1,-0.142095,0.207063,0.461323,-0.789367,1.164897
