kit_id,origin,franchise,gateA_group,core_movement,core_delivery,core_treatment,core_function,core_proxy,core_activation,core_dependency,kit_x,kit_y,atlas_point_x,atlas_point_y,cell_x,cell_y,dx,dy,mag,beyond_horizon,nc_amp,nc_geometry,nc_defense,nc_economy,nc_range,nc_tempo,nc_commit,attr_amp_x,attr_amp_y,attr_geometry_x,attr_geometry_y,attr_defense_x,attr_defense_y,attr_economy_x,attr_economy_y,attr_range_x,attr_range_y,attr_tempo_x,attr_tempo_y,attr_commit_x,attr_commit_y,attr_coredilution_x,attr_coredilution_y,attr_coresub_x,attr_coresub_y,attr_coresub_mag,attr_residual
le-warpath-vk,survivor,le,WHIRLWIND,FREE-MOVE,NOVA,damage,hex,solo,triggered,one-shot,1.02335365,-1.28297812,1.0233536,-1.2829781,0.37365473,-0.16599513,0.64969892,-1.11698299,1.29219181,1,flat,whirlwind,tank,reserve,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.05291033,-0.24346422,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.18463285,0.08202266,0.0,-0.0,1e-08,0.0
ud-whirlwind-str,survivor,undecember,WHIRLWIND,FREE-MOVE,NOVA,damage,none,solo,active,one-shot,1.00659824,-1.36133337,1.0065982,-1.3613334,0.34053296,-0.32088625,0.66606528,-1.04044712,1.23538381,1,flat,whirlwind,tank,reserve,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.05291033,-0.24346422,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.16826649,0.15855852,0.0,0.0,0.0,0.0
di-whirlwind-barb,survivor,Diablo,WHIRLWIND,FREE-MOVE,NOVA,damage,knockback,solo,active,one-shot,1.05751146,-1.56185689,1.0575115,-1.5618569,0.44117723,-0.7172772,0.61633423,-0.84457969,1.04555379,1,flat,whirlwind,tank,reserve,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.05291033,-0.24346422,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.21799753,0.35442595,-0.0,0.0,1e-08,0.0
d3-ww-wastes,survivor,Diablo,WHIRLWIND,FREE-MOVE,NOVA,damage,none,solo,triggered,one-shot,0.98909333,-1.01251501,0.98909333,-1.012515,0.31210711,-0.24141227,0.67698622,-0.77110274,1.02611393,1,flat,whirlwind,tank,spend,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.15422051,0.11928829,-0.0,0.0,0.0,0.0
poe1-cyclone,survivor,PoE,WHIRLWIND,FREE-MOVE,NOVA,damage,none,solo,triggered,one-shot,0.98909333,-1.01251501,0.98909333,-1.012515,0.31210711,-0.24141227,0.67698622,-0.77110274,1.02611393,1,flat,whirlwind,tank,spend,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.15422051,0.11928829,-0.0,0.0,0.0,0.0
tq2-whirlwind-rogue,survivor,TitanQuest,WHIRLWIND,FREE-MOVE,NOVA,damage,knockback,solo,active,one-shot,1.11080978,-1.48979752,1.1108098,-1.4897975,0.44117723,-0.7172772,0.66963255,-0.77252032,1.02234799,1,flat,whirlwind,evade,reserve,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,0.01807169,0.01509507,0.05291033,-0.24346422,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.21799753,0.35442595,-0.0,0.0,1e-08,0.0
d2-ww-barb,survivor,Diablo,WHIRLWIND,FREE-MOVE,NOVA,damage,none,solo,triggered,one-shot,0.86218278,-1.08616821,0.86218278,-1.0861682,0.31210711,-0.24141227,0.55007567,-0.84475594,1.0080654,1,flat,whirlwind,tank,spend,melee,med,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,-0.0609391,-0.04615711,0.3951355,-0.32450813,-0.15422051,0.11928829,-0.0,0.0,0.0,0.0
ud-cwc-spin-caster,survivor,undecember,WHIRLWIND,FREE-MOVE,NOVA,damage,hard-stop,solo,triggered,one-shot,0.91379144,-0.95409826,0.91379144,-0.95409826,0.33193618,-0.13394996,0.58185526,-0.8201483,1.00558381,0,flat,whirlwind,tank,free,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,-0.03554758,0.06920484,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.16401859,0.06618828,0.0,-0.0,0.0,0.0
d2-ww-sin,survivor,Diablo,WHIRLWIND,FREE-MOVE,NOVA,damage,none,light,active,one-shot,0.99562662,-1.01164667,0.99562662,-1.0116467,0.2196629,-0.38214127,0.77596372,-0.6295054,0.99919805,1,flat,whirlwind,evade,spend,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,0.01807169,0.01509507,0.04978531,0.06515038,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.10854135,0.18882628,0.0,-0.0,1e-08,0.0
gd-eor-warlord,survivor,gd,WHIRLWIND,FREE-MOVE,NOVA,damage,none,solo,active,one-shot,1.00347321,-1.05271877,1.0034732,-1.0527188,0.34053296,-0.32088625,0.66294025,-0.73183252,0.98745562,1,flat,whirlwind,tank,spend,melee,high,channel,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.16826649,0.15855852,0.0,0.0,0.0,0.0
di-ray-of-frost-wizard,survivor,Diablo,CHANNELED-BEAM,ROOTED,BEAM,control,hard-stop,solo,active,apply→detonate,1.02871253,-0.53119128,1.0287125,-0.53119128,0.49436591,0.18844522,0.53434662,-0.7196365,0.89632751,0,flat,other-rare,glass,reserve,dual,high,channel,0.02834256,-0.01422725,0.17104882,-0.14904242,0.04453982,0.05246984,0.05291033,-0.24346422,0.02067763,0.02475544,0.06597146,0.02749609,0.3951355,-0.32450813,-0.24427949,-0.09311585,0.0,-0.0,1e-08,0.0
