kit_id,cell_key
chr-arrow-storm-warden,full-move|projectile|flat|circle|damage|none|evade|spend|solo|ranged|high|instant|triggered|one-shot
chr-bee-warden,full-move|self-origin|flat|circle|damage|none|evade|reserve|heavy|dual|low|instant|active|one-shot
chr-bleed-berserker,full-move|at-target|flat|melee_strike|damage|none|tank|unknown|solo|melee|low|instant|active|one-shot
chr-bloodbinder-warlock,full-move|self-origin|flat|circle|damage|none|absorb|self-cost|heavy|dual|med|instant|triggered|one-shot
chr-crown-proc-engine,full-move|projectile|flat|single_target|damage|none|glass|free|solo|ranged|high|instant|triggered|one-shot
chr-demon-legion-warlock,full-move|self-origin|flat|circle|damage|taunt|absorb|reserve|heavy|melee|med|instant|active|one-shot
chr-fire-berserker,full-move|self-origin|spiky|circle|damage|fear|tank|free|solo|melee|high|instant|triggered|build→spend
chr-firestorm-warlock,full-move|at-target|flat|ground_targeted_circle|damage|none|glass|free|solo|ranged|high|instant|triggered|apply→detonate
chr-frost-berserker,full-move|at-target|spiky|ground_targeted_circle|damage|hard-stop|tank|spend|solo|melee|med|instant|active|one-shot
chr-fulmination-templar,full-move|at-target|flat|melee_strike|damage|stun|tank|free|solo|melee|high|instant|triggered|apply→detonate
chr-high-ranger-warden,full-move|projectile|flat|single_target|damage|none|evade|unknown|solo|ranged|low|instant|active|one-shot
chr-mechanist-rocketeer,rooted|projectile|spiky|circle|damage|knockback|tank|finite|solo|ranged|med|instant|active|one-shot
chr-mechanist-saw-master,full-move|projectile|spiky|chain|damage|none|tank|spend|light|dual|high|instant|triggered|build→spend
chr-mechanist-turret-drone,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|one-shot
chr-pet-warden,full-move|self-origin|flat|circle|damage|taunt|evade|reserve|heavy|melee|med|instant|active|one-shot
chr-plague-curse-warlock,full-move|at-target|spiky|ground_targeted_circle|control|hex|glass|finite|solo|ranged|low|instant|active|build→spend
chr-thorns-templar,rooted|self-origin|flat|circle|control|taunt|absorb|free|solo|melee|low|instant|triggered|one-shot
d2-auradin,rooted|aura-pulse|flat|aura|damage|none|mitigate|free|solo|melee|high|instant|triggered|one-shot
d2-avenger,rooted|at-target|flat|melee_strike|damage|none|mitigate|spend|solo|melee|med|instant|active|one-shot
d2-berserker,rooted|at-target|spiky|melee_strike|damage|none|glass|spend|solo|melee|med|instant|active|one-shot
d2-blizzard-sorc,full-move|at-target|var|ground_targeted_circle|damage|hard-stop|glass|spend|solo|ranged|med|instant|active|one-shot
d2-bonemancer,walk|projectile|flat|single_target|damage|none|absorb|spend|solo|ranged|high|instant|active|one-shot
d2-bowazon,rooted|projectile|flat|multi_projectile|damage|none|mitigate|free|light|ranged|high|instant|active|one-shot
d2-bvc,full-move|self-origin|spiky|whirlwind|damage|stun|tank|spend|solo|melee|med|channel|active|one-shot
