kit_id,x_aligned,y_aligned,gateA_group,franchise
chr-arrow-storm-warden,0.060566082,-0.3761533,,chronicon
chr-bee-warden,0.23803564,-0.68770432,,chronicon
chr-bleed-berserker,0.0054026911,0.17124096,,chronicon
chr-bloodbinder-warlock,0.075411971,-0.77635321,,chronicon
chr-crown-proc-engine,-0.48535371,-0.14996684,TRAP-MINE,chronicon
chr-demon-legion-warlock,0.41562206,-0.93144714,MINION-PET,chronicon
chr-fire-berserker,-0.12771934,-0.036428492,TRAP-MINE,chronicon
chr-firestorm-warlock,-0.52887182,-0.008215974,TRAP-MINE,chronicon
chr-frost-berserker,-0.21676146,-0.024764402,,chronicon
chr-fulmination-templar,-0.27855912,0.3122814,TRAP-MINE,chronicon
chr-high-ranger-warden,-0.20777736,-0.085336104,,chronicon
chr-mechanist-rocketeer,0.3164378,-0.019427668,,chronicon
chr-mechanist-saw-master,0.028249916,-0.15723688,,chronicon
chr-mechanist-turret-drone,-0.25391002,-0.41730973,TOTEM-SENTRY,chronicon
chr-pet-warden,0.4428356,-0.7988789,MINION-PET,chronicon
chr-plague-curse-warlock,-0.58004424,0.30748938,,chronicon
chr-thorns-templar,-0.44412854,-0.12266649,,chronicon
d2-auradin,0.44769703,-0.13982974,AURA,Diablo
d2-avenger,0.22444987,0.21708675,,Diablo
d2-berserker,0.213514,0.34603215,,Diablo
d2-blizzard-sorc,-0.28886004,-0.21013642,,Diablo
d2-bonemancer,-0.10485903,-0.30197271,,Diablo
d2-bowazon,-0.087686764,-0.22571755,,Diablo
d2-bvc,0.66109578,-0.51794502,WHIRLWIND,Diablo
d2-charger,-0.035990585,0.10050419,,Diablo
d2-conc-barb,0.21453859,0.24211365,,Diablo
d2-daggermancer,0.22577621,0.15474662,,Diablo
d2-enchantress,-0.025935767,0.13811244,,Diablo
d2-fire-druid,0.0020623282,-0.22018182,,Diablo
d2-fire-sorc,-0.1332514,-0.37595217,,Diablo
d2-fireclaw-wolf,0.10058861,0.087894507,,Diablo
d2-firewall-sorc,-0.0098472078,-0.51768562,,Diablo
d2-fishyzon,-0.057180303,-0.22588666,,Diablo
d2-fohdin,-0.14278137,-0.12376961,,Diablo
d2-frenzy-barb,-0.026960289,0.39798699,TRAP-MINE,Diablo
