kit_id,x_aligned,y_aligned,death_class
d2-blade-sin,0.39440668,-0.41364474,extrinsic-tuning
d2-blaze-sorc,-0.016098951,-0.27443411,intrinsic-red
d2-golemancer,-0.46652253,-0.3115174,extrinsic-split-scaling
d2-grim-ward-barb,-0.43854294,-0.14748264,intrinsic-red
d2-impale-zon,-0.18951371,0.89324711,intrinsic-red
d2-inferno-sorc,0.73176575,-0.35831238,extrinsic-tuning
d2-leap-attack-barb,-0.085055899,0.84389606,intrinsic-red
d2-sacrifice,-0.084695138,0.36287356,intrinsic-red
d3-firebomb,0.26962106,0.024727288,extrinsic-itemization
d3-shield-bash,-0.12267901,0.25024758,extrinsic-tuning
d3-spectral-blade,0.57212258,0.0061188023,extrinsic-itemization
d3-wave-of-force,0.14299058,-0.28718161,extrinsic-itemization
d4-blade-shift,0.24410367,-0.34266723,extrinsic-itemization
d4-incinerate,0.68336909,-0.52719954,intrinsic-red
d4-kick,-0.12267901,0.25024758,extrinsic-itemization
d4-wind-shear,0.28693754,0.053453654,extrinsic-itemization
gd-blade-trap,-0.33662874,-0.077279762,extrinsic-content-mix
gd-reap-spirit,-0.25232865,0.046018471,extrinsic-split-scaling
gd-stun-jacks,-0.17753921,-0.090027259,extrinsic-no-lever
hot-blood-catcher,0.25242542,-0.51509219,system-evidence
le-shield-bash-le,-0.12267901,0.25024758,extrinsic-itemization
le-soul-feast,-0.55744934,0.19032617,extrinsic-split-scaling
le-tempest-strike,-0.32178965,-0.079213685,extrinsic-no-lever
poe1-charged-dash,0.60461199,-0.50410933,intrinsic-red
poe1-cleave,-0.028029457,0.023374275,extrinsic-no-lever
poe1-glacial-hammer,-0.12914255,0.078859903,extrinsic-content-mix
poe1-reaper,-0.25021946,-0.28271947,intrinsic-red
poe1-sweep,0.14299058,-0.28718161,intrinsic-red
poe1-wild-strike,-0.019212583,-0.10396745,extrinsic-no-lever
poe2-chronomancer-01,-0.25251894,-0.13315699,extrinsic-tuning
poe2-concoction,-0.48011627,-0.065273496,extrinsic-content-mix
poe2-perfect-strike-01,0.24296301,1.1926821,extrinsic-tuning
poe2-wall-of-shields,-0.28568845,-0.027946531,extrinsic-tuning
tl2-arc-beam,1.011388,-0.17841352,extrinsic-tuning
tq-calculated-strike,-0.12267901,0.25024758,intrinsic-red
tq-flame-surge,0.55858345,-0.088827523,intrinsic-red
vs-gatti-amari,-0.24043716,-0.88120811,intrinsic-red
