kit_id,x,y,game,gateA_group,supplementary
chr-arrow-storm-warden,0.30628932,-0.22659746,chronicon,,0
chr-bee-warden,0.50149249,-0.52735518,chronicon,,0
chr-bleed-berserker,-0.15458422,0.073867275,chronicon,,0
chr-bloodbinder-warlock,0.65494102,-0.42363136,chronicon,,0
chr-crown-proc-engine,0.3561718,0.36221531,chronicon,TRAP-MINE,0
chr-demon-legion-warlock,0.63641232,-0.79706639,chronicon,MINION-PET,0
chr-fire-berserker,0.091029882,0.096710013,chronicon,TRAP-MINE,0
chr-firestorm-warlock,0.25025538,0.46598836,chronicon,TRAP-MINE,0
chr-frost-berserker,0.12157435,0.18115872,chronicon,,0
chr-fulmination-templar,-0.14941253,0.39088458,chronicon,TRAP-MINE,0
chr-high-ranger-warden,0.17124909,0.14535278,chronicon,,0
chr-mechanist-rocketeer,-0.12811156,-0.28999611,chronicon,,0
chr-mechanist-saw-master,0.12668568,-0.0973254,chronicon,,0
chr-mechanist-turret-drone,0.48731264,0.033824555,chronicon,TOTEM-SENTRY,0
chr-pet-warden,0.50615893,-0.76033809,chronicon,MINION-PET,0
chr-plague-curse-warlock,-0.006657273,0.65647294,chronicon,,0
chr-thorns-templar,0.31298429,0.33813912,chronicon,,0
d2-auradin,-0.081465158,-0.46189654,d2,AURA,0
d2-avenger,-0.29593384,-0.099637153,d2,,0
d2-berserker,-0.4054439,-0.030687493,d2,,0
d2-blade-sin,0.18622799,-0.54034964,d2,,1
d2-blaze-sorc,0.25115777,-0.11177223,d2,,1
d2-blizzard-sorc,0.31934961,0.16004145,d2,,0
d2-bonemancer,0.31639389,-0.045583303,d2,,0
d2-bowazon,0.24077262,-0.02580557,d2,,0
d2-bvc,0.15635728,-0.8251467,d2,WHIRLWIND,0
d2-charger,-0.072737722,0.078138589,d2,,0
d2-conc-barb,-0.31361049,-0.079336539,d2,,0
d2-daggermancer,-0.24117043,-0.1294536,d2,,0
d2-enchantress,-0.11076177,0.086484343,d2,,0
d2-fire-druid,0.19462588,-0.10298084,d2,,0
d2-fire-sorc,0.3951482,-0.05434951,d2,,0
d2-fireclaw-wolf,-0.12428027,-0.048968635,d2,,0
d2-firewall-sorc,0.4643504,-0.22907221,d2,,0
d2-fishyzon,0.22690851,-0.052980176,d2,,0
d2-fohdin,0.17552868,0.069965122,d2,,0
d2-frenzy-barb,-0.34112089,0.20677775,d2,TRAP-MINE,0
d2-frost-bowazon,0.32468487,-0.23207292,d2,,0
d2-frozen-orb-sorc,0.42522713,-0.018688834,d2,,0
d2-fury-wolf,0.21828077,0.10946865,d2,,0
d2-ghost-pvp,0.016900667,0.10694514,d2,,0
d2-golemancer,0.4910159,0.27127431,d2,,1
d2-grim-ward-barb,0.33246091,0.32177753,d2,,1
d2-hammerdin,0.28019283,-0.39295269,d2,,0
d2-horker,0.054671694,0.54728957,d2,TRAP-MINE,0
d2-hydra-sorc,0.44300491,0.2179647,d2,,0
d2-impale-zon,-0.70635329,0.57868029,d2,,1
d2-inferno-sorc,-0.017899059,-0.81458486,d2,,1
d2-javazon,0.057378551,-0.1180183,d2,,0
d2-kicksin,-0.19223167,0.22029593,d2,,0
d2-leap-attack-barb,-0.71050466,0.46322585,d2,,1
d2-lightning-sorc,0.22118991,-0.075632566,d2,,0
d2-maul-bear,-0.52407672,0.41874211,d2,,0
d2-meteorb,-0.16922485,0.148895,d2,,0
d2-mosaic-sin,-0.53344882,-0.15268111,d2,,0
d2-nova-sorc,0.35016307,-0.57837101,d2,,0
d2-poison-javazon,0.098433373,0.15734696,d2,,0
d2-poison-nova-necro,0.52588167,-0.5441087,d2,,0
d2-rabies-wolf,0.23240845,0.15671412,d2,,0
d2-sacrifice,-0.28340917,0.24192918,d2,,1
d2-singer,0.12215044,-0.46181225,d2,,0
d2-smiter,-0.19235741,0.27731765,d2,,0
d2-summon-druid,0.3078163,-0.0039479788,d2,,0
d2-summonmancer,0.17710157,0.56389277,d2,,0
d2-throw-barb,0.37685414,-0.031001284,d2,,0
d2-trapsin,0.35850094,0.3385473,d2,,0
d2-wind-druid,0.3588489,-0.37642145,d2,,0
d2-wl-abyss,0.28408672,0.11845296,d2,,0
d2-wl-blood-boil,0.45612283,0.12813886,d2,,0
d2-wl-echoing-strike,0.14777678,0.046690721,d2,,0
d2-wl-fire,0.28408672,0.11845296,d2,,0
d2-wl-tainted-summoner,0.25771807,0.76964681,d2,,0
d2-wl-void-rift,0.18735413,0.18415355,d2,,0
d2-ww-barb,0.3488761,-0.77266447,d2,WHIRLWIND,0
d2-ww-sin,0.17786687,-1.0189263,d2,WHIRLWIND,0
d2-zealot,-0.83681743,0.15537556,d2,,0
d3-akkhan-condemn,0.37131959,-0.39275589,d3,,0
d3-aov-foth,0.2442945,0.044966602,d3,,0
d3-arachyr-firebats,0.1138685,-0.8598863,d3,CHANNELED-BEAM,0
d3-call-of-the-ancients,0.33550686,0.29359989,d3,,0
d3-dashing-strike-monk,0.073002028,-0.070479192,d3,,0
d3-dmo-twister,0.38152502,-0.2142216,d3,,0
d3-firebird,-0.059650594,0.091026733,d3,,0
d3-firebomb,-0.14582448,-0.22812754,d3,,1
d3-frenzy-h90,-0.019744626,0.4064349,d3,TRAP-MINE,0
d3-god-hungering,-0.26122031,-0.36510876,d3,,0
d3-helltooth-garg,0.44381457,-0.083975351,d3,,0
d3-ik-hota,0.14724529,0.012267869,d3,,0
d3-inarius-bonestorm,0.29095765,-0.30788121,d3,,0
d3-inna-allies,0.35212793,-0.058617329,d3,,0
d3-invoker-thorns,-0.4163932,-0.35579514,d3,,0
d3-jade-harvester,-0.11948349,0.1303066,d3,,0
d3-leapquake,0.088905334,0.33127569,d3,,0
d3-lod-archetype,0.52864545,-0.34523484,d3,,0
d3-lod-bazooka,-0.12611513,0.21504469,d3,,0
d3-lon-bombardment,-0.028701378,0.24236294,d3,,0
d3-m6-sentries,0.24719385,-0.034551635,d3,TOTEM-SENTRY,0
d3-manald-heal,0.29755098,0.53669513,d3,TRAP-MINE,0
d3-masquerade-spear,0.40713901,-0.028420406,d3,,0
d3-mundunugu-sb,0.45600849,0.072809071,d3,TOTEM-SENTRY,0
d3-natalya-rov,0.17921273,0.23400149,d3,,0
d3-pestilence-lance,0.20885222,0.61393843,d3,TRAP-MINE,0
d3-poj-tempest-rush,0.29814505,-0.7370243,d3,,0
d3-raekor-boulder,-0.48129337,-0.070786897,d3,,0
d3-raiment-shenlong,-0.60545801,-0.24498858,d3,,0
d3-rathma-aotd,0.30029522,0.39749207,d3,,0
d3-rolands,0.17272556,-0.51734038,d3,,0
d3-s6-impale,-0.27708808,-0.11819248,d3,,0
d3-shield-bash,-0.16592143,0.22392871,d3,,1
d3-sotl-hammer,0.45046424,-0.32981683,d3,,0
d3-spectral-blade,-0.2682615,-0.50536863,d3,,1
d3-sunwuko-wol,0.23302403,-0.058657286,d3,,0
d3-tal-meteor,-0.19172251,0.31185927,d3,,0
d3-trag-nova,0.40196529,-0.56885766,d3,,0
d3-typhon-hydra,0.37320899,0.29748025,d3,,0
d3-ue-multishot,0.245274,-0.37266893,d3,,0
d3-uliana-ep,-0.23900989,0.057791788,d3,,0
d3-vyr-archon,-0.017590171,-0.36151947,d3,,0
d3-wave-of-force,0.18939664,-0.25893724,d3,,1
d3-wizard-black-hole,-0.35739965,-0.012389627,d3,,0
d3-ww-wastes,0.35035392,-0.83278731,d3,WHIRLWIND,0
d3-zbarb,-0.17746013,0.083067333,d3,,0
d3-zero-dogs,0.096607425,0.29090637,d3,,0
d3-znec,0.22834478,0.21965792,d3,,0
d3-zuni-carnevil,0.47314112,0.26276149,d3,,0
d4-andariel-flurry,0.12709616,0.20818307,d4,,0
d4-auradin-paladin,0.11953438,-0.85433996,d4,AURA,0
d4-ball-lightning,0.3491082,-0.40416036,d4,,0
d4-bash,-0.36917581,-0.078415687,d4,,0
d4-blade-shift,0.19223074,-0.37423893,d4,,1
d4-blazing-abyss-warlock,0.26500519,0.140367,d4,,0
d4-blood-lance,0.3539063,-0.13441126,d4,,0
d4-blood-surge,0.090319371,-0.41915644,d4,,0
d4-blood-wave,0.3154238,-0.38211333,d4,WHIRLWIND,0
d4-bone-spear,0.27144724,0.039457151,d4,,0
d4-bouldercane,0.29095765,-0.30788121,d4,,0
d4-cataclysm,0.53316203,-0.41473527,d4,,0
d4-chain-lightning,0.36989101,-0.1588691,d4,,0
d4-dance-of-knives,0.076987106,-0.62794545,d4,,0
d4-death-trap,0.33745646,0.44254066,d4,TOTEM-SENTRY,0
d4-dread-claws-warlock,0.15915907,0.31661681,d4,,0
d4-earthquake-barb,0.16983371,0.29321458,d4,,0
d4-evade-sb,-0.054419928,-0.31431888,d4,,0
d4-flame-shield-immortal,0.3302381,-0.27216815,d4,,0
d4-frozen-orb,0.43760998,-0.089399615,d4,,0
d4-hammerdin-paladin,0.4277685,-0.29176772,d4,,0
d4-heartseeker,-0.19424676,-0.13392767,d4,,0
d4-hota,0.091004076,0.10220716,d4,,0
