dim,rank,coordinate,level,loading,abs_loading
1,1,range,mid,-2.238582906854438,2.238582906854438
1,2,commit,wind-up,-1.8329327949929375,1.8329327949929375
1,3,function,knockback,-1.7654753748616612,1.7654753748616612
1,4,economy,generator-spender,-1.7087884465391698,1.7087884465391698
1,5,geometry,melee_strike,-1.546386322744891,1.546386322744891
1,6,function,pull,-1.5250910921093321,1.5250910921093321
1,7,dependency,build→spend,-1.5217216300355172,1.5217216300355172
1,8,movement,rooted,-1.0971691757103377,1.0971691757103377
1,9,function,taunt,1.0611785430157086,1.0611785430157086
1,10,delivery,other-rare,0.9550627159354048,0.9550627159354048
1,11,defense,evade,-0.9491350455609627,0.9491350455609627
1,12,proxy,heavy,0.8641717267388868,0.8641717267388868
2,1,treatment,control,2.1179211826315463,2.1179211826315463
2,2,geometry,whirlwind,-1.9503356528608105,1.9503356528608105
2,3,geometry,aura,-1.8993666340992443,1.8993666340992443
2,4,delivery,aura-pulse,-1.6631924059869516,1.6631924059869516
2,5,function,other-rare,1.4037137000868463,1.4037137000868463
2,6,delivery,melee,1.3183650736046348,1.3183650736046348
2,7,commit,channel,-1.2856096086880513,1.2856096086880513
2,8,economy,free,1.1875310261366705,1.1875310261366705
2,9,geometry,other-rare,-1.1822455428753407,1.1822455428753407
2,10,economy,reserve,-1.1643779732149493,1.1643779732149493
2,11,function,taunt,-1.108974781857063,1.108974781857063
2,12,delivery,self-origin,-1.0066744228634108,1.0066744228634108
3,1,geometry,cone,-2.5640586135656864,2.5640586135656864
3,2,delivery,melee,-2.067167977197813,2.067167977197813
3,3,geometry,totem,2.0146933910495486,2.0146933910495486
3,4,delivery,beam,-1.6449527305606786,1.6449527305606786
3,5,proxy,heavy,1.5077308171677664,1.5077308171677664
3,6,dependency,apply→detonate,1.2426920347690684,1.2426920347690684
3,7,function,taunt,0.95445488724681,0.95445488724681
3,8,economy,free,-0.9152351420590294,0.9152351420590294
3,9,economy,cooldown,0.909236318788562,0.909236318788562
3,10,commit,channel,-0.8599445517514371,0.8599445517514371
3,11,geometry,whirlwind,-0.6954623969948807,0.6954623969948807
3,12,treatment,control,-0.6679293345728414,0.6679293345728414
4,1,geometry,aura,-2.053362704245352,2.053362704245352
4,2,function,taunt,-1.8701717227572774,1.8701717227572774
4,3,treatment,control,-1.7911459588817555,1.7911459588817555
4,4,delivery,aura-pulse,-1.7687614880241211,1.7687614880241211
4,5,geometry,whirlwind,-1.5070871639878554,1.5070871639878554
4,6,function,pull,-1.4576150920618343,1.4576150920618343
4,7,geometry,dash_attack,-1.3289681751850515,1.3289681751850515
4,8,economy,reserve,-1.2757446855248915,1.2757446855248915
4,9,delivery,melee,-1.156680412198255,1.156680412198255
4,10,delivery,projectile,1.1336546051369158,1.1336546051369158
4,11,geometry,multi_projectile,1.0687114705867913,1.0687114705867913
4,12,geometry,chain,1.0582734586099265,1.0582734586099265
5,1,geometry,aura,-5.090668602476613,5.090668602476613
5,2,delivery,aura-pulse,-4.348480318230508,4.348480318230508
5,3,delivery,beam,1.3218928657613056,1.3218928657613056
5,4,geometry,whirlwind,1.316031036145712,1.316031036145712
5,5,treatment,control,1.1749402013117167,1.1749402013117167
5,6,commit,channel,0.9758718538038865,0.9758718538038865
5,7,geometry,other-rare,0.8909175685943407,0.8909175685943407
5,8,geometry,vortex_pull,0.884617650548278,0.884617650548278
5,9,function,pull,0.7431034188890565,0.7431034188890565
5,10,delivery,self-origin,0.7075334521531766,0.7075334521531766
5,11,geometry,dash_attack,0.6999601094388966,0.6999601094388966
5,12,economy,finite,0.6745080679794545,0.6745080679794545
6,1,geometry,aura,2.5807568925293514,2.5807568925293514
6,2,delivery,aura-pulse,2.061967410959139,2.061967410959139
6,3,delivery,melee,-1.8710884757487483,1.8710884757487483
6,4,treatment,control,1.8705400445384284,1.8705400445384284
6,5,geometry,cone,-1.6265923585988864,1.6265923585988864
6,6,geometry,whirlwind,-1.4877193204781884,1.4877193204781884
6,7,range,mid,1.3542992550373605,1.3542992550373605
6,8,function,hard-stop,1.1741363408223704,1.1741363408223704
6,9,defense,absorb,1.1234446383553285,1.1234446383553285
6,10,function,other-rare,1.0441690759028495,1.0441690759028495
6,11,function,hex,1.0100221008869332,1.0100221008869332
6,12,delivery,other-rare,0.9125621248901277,0.9125621248901277
7,1,geometry,whirlwind,2.5055363676503197,2.5055363676503197
7,2,function,pull,-2.398568712429584,2.398568712429584
7,3,delivery,beam,-2.388173747960257,2.388173747960257
7,4,geometry,vortex_pull,-2.145316379920008,2.145316379920008
7,5,geometry,dash_attack,1.979847032623842,1.979847032623842
7,6,geometry,other-rare,-1.565535887851511,1.565535887851511
7,7,geometry,cone,-1.527712849017861,1.527712849017861
7,8,economy,other-rare,-1.3469926292762215,1.3469926292762215
7,9,delivery,other-rare,-1.2318601385937769,1.2318601385937769
7,10,function,other-rare,1.1396415493062293,1.1396415493062293
7,11,economy,self-cost,1.110813426892489,1.110813426892489
7,12,delivery,orbit,-1.0897046573990887,1.0897046573990887
8,1,function,pull,3.482217078201619,3.482217078201619
8,2,geometry,vortex_pull,3.017085595586727,3.017085595586727
8,3,function,taunt,-2.12312427549473,2.12312427549473
8,4,geometry,dash_attack,1.4046595562649715,1.4046595562649715
8,5,delivery,beam,-1.2204032615375542,1.2204032615375542
8,6,economy,reserve,-1.0163462742566074,1.0163462742566074
8,7,proxy,heavy,-0.8800292038333085,0.8800292038333085
8,8,geometry,other-rare,-0.8692372908684457,0.8692372908684457
8,9,economy,other-rare,-0.7956983311759207,0.7956983311759207
8,10,economy,finite,-0.7641054854649748,0.7641054854649748
8,11,delivery,orbit,0.731500959711423,0.731500959711423
8,12,amp,var,0.7265835536709649,0.7265835536709649
9,1,function,pull,-3.874867234580574,3.874867234580574
9,2,geometry,vortex_pull,-3.022627849202059,3.022627849202059
9,3,economy,other-rare,2.794053842927256,2.794053842927256
9,4,geometry,dash_attack,2.3345771571671476,2.3345771571671476
9,5,geometry,cone,1.6003870164186322,1.6003870164186322
9,6,function,taunt,-1.278350777370012,1.278350777370012
9,7,geometry,single_target,-1.1975859719827795,1.1975859719827795
9,8,function,expose,0.9406218115313297,0.9406218115313297
9,9,function,other-rare,-0.9217134617947496,0.9217134617947496
9,10,delivery,orbit,0.7573858270754622,0.7573858270754622
9,11,geometry,whirlwind,-0.6778895725337452,0.6778895725337452
9,12,delivery,beam,0.6460238197833365,0.6460238197833365
10,1,geometry,dash_attack,-2.6579417487550647,2.6579417487550647
10,2,geometry,whirlwind,2.2521432593173447,2.2521432593173447
10,3,delivery,beam,1.8509359323453178,1.8509359323453178
10,4,commit,channel,1.666311130079696,1.666311130079696
10,5,geometry,ground_targeted_circle,1.087744766637876,1.087744766637876
10,6,function,pull,-1.0189063512951322,1.0189063512951322
10,7,geometry,vortex_pull,-0.9941243569271999,0.9941243569271999
10,8,geometry,circle,-0.9912368846791505,0.9912368846791505
10,9,economy,finite,-0.9184812769891824,0.9184812769891824
10,10,function,taunt,-0.7851229626776401,0.7851229626776401
10,11,delivery,projectile,-0.6560800307723065,0.6560800307723065
10,12,delivery,other-rare,-0.5519771176317488,0.5519771176317488
11,1,economy,other-rare,-3.714447701308481,3.714447701308481
11,2,delivery,orbit,2.2218598581386786,2.2218598581386786
11,3,geometry,cone,-1.7646710569576116,1.7646710569576116
11,4,geometry,other-rare,1.7135501307562195,1.7135501307562195
11,5,function,expose,-1.5972596591098263,1.5972596591098263
11,6,economy,self-cost,-1.4041494319955472,1.4041494319955472
11,7,delivery,other-rare,1.2457716907112406,1.2457716907112406
11,8,geometry,dash_attack,1.1162078857406785,1.1162078857406785
11,9,geometry,totem,-1.1000637163526037,1.1000637163526037
11,10,geometry,single_target,1.0789395848169199,1.0789395848169199
11,11,function,pull,-0.9777516174061941,0.9777516174061941
11,12,dependency,apply→detonate,-0.8988064716199349,0.8988064716199349
12,1,delivery,other-rare,2.906779145436981,2.906779145436981
12,2,geometry,dash_attack,-2.2575261260804016,2.2575261260804016
12,3,geometry,whirlwind,-1.5280010841103884,1.5280010841103884
12,4,geometry,circle,1.512239292093824,1.512239292093824
12,5,function,other-rare,1.3228825532607118,1.3228825532607118
12,6,economy,self-cost,1.1776288337138179,1.1776288337138179
12,7,geometry,multi_projectile,-1.016222887266035,1.016222887266035
12,8,geometry,aura,-0.9861094436647386,0.9861094436647386
12,9,function,taunt,0.931406989738802,0.931406989738802
12,10,commit,channel,-0.9070790042757586,0.9070790042757586
12,11,delivery,aura-pulse,-0.8634462100655899,0.8634462100655899
12,12,delivery,melee,0.7911076052582432,0.7911076052582432
13,1,geometry,chain,-1.4762486115110156,1.4762486115110156
13,2,range,mid,-1.3136003880142157,1.3136003880142157
13,3,geometry,whirlwind,-1.2063168826379347,1.2063168826379347
13,4,economy,cooldown,-1.181233184070186,1.181233184070186
13,5,tempo,low,-1.1322954337082056,1.1322954337082056
13,6,delivery,orbit,1.0503927741439603,1.0503927741439603
13,7,delivery,other-rare,-1.0231576736303032,1.0231576736303032
13,8,geometry,multi_projectile,0.9816460759283515,0.9816460759283515
13,9,function,other-rare,-0.9336136088162957,0.9336136088162957
13,10,geometry,dash_attack,0.9171011089794376,0.9171011089794376
13,11,proxy,light,-0.8975559771109433,0.8975559771109433
13,12,function,hard-stop,0.823060596329855,0.823060596329855
14,1,economy,other-rare,-5.42848289529476,5.42848289529476
14,2,geometry,dash_attack,-2.1050383088986058,2.1050383088986058
14,3,function,expose,-2.0995776089784375,2.0995776089784375
14,4,delivery,beam,-1.5732805800614384,1.5732805800614384
14,5,geometry,cone,-1.1323349887522824,1.1323349887522824
14,6,geometry,multi_projectile,1.1210195677660717,1.1210195677660717
14,7,delivery,orbit,1.0623991121858802,1.0623991121858802
14,8,economy,self-cost,-0.9303330266376317,0.9303330266376317
14,9,function,taunt,0.8725947627361627,0.8725947627361627
14,10,function,hard-stop,0.7794688061364559,0.7794688061364559
14,11,economy,finite,-0.7413207110603383,0.7413207110603383
14,12,proxy,light,0.7298359080928593,0.7298359080928593
15,1,economy,other-rare,2.2362894172546706,2.2362894172546706
15,2,geometry,chain,-1.747077064031553,1.747077064031553
15,3,delivery,orbit,-1.7144283507775722,1.7144283507775722
15,4,function,taunt,1.6797282203416641,1.6797282203416641
15,5,function,stun,-1.325909836662249,1.325909836662249
15,6,geometry,multi_projectile,1.056387202312344,1.056387202312344
15,7,economy,finite,-0.99065431323652,0.99065431323652
15,8,activation,triggered,-0.82358267828085,0.82358267828085
15,9,geometry,vortex_pull,-0.8049226239488972,0.8049226239488972
15,10,geometry,whirlwind,-0.7902383949360529,0.7902383949360529
15,11,function,hex,-0.7714804543309893,0.7714804543309893
15,12,function,other-rare,-0.7554850962769093,0.7554850962769093
16,1,function,taunt,3.326873734516913,3.326873734516913
16,2,economy,other-rare,2.5343611087216593,2.5343611087216593
16,3,geometry,chain,1.5422026657162726,1.5422026657162726
16,4,function,expose,1.3348916387582062,1.3348916387582062
16,5,economy,finite,-1.2981542901425374,1.2981542901425374
16,6,geometry,aura,-1.2757462712021495,1.2757462712021495
16,7,geometry,whirlwind,-1.2204399914958295,1.2204399914958295
16,8,economy,self-cost,1.1874335515694363,1.1874335515694363
16,9,delivery,aura-pulse,-1.0949537497671173,1.0949537497671173
16,10,function,pull,0.9243742882686001,0.9243742882686001
16,11,function,stun,-0.8523310682214663,0.8523310682214663
16,12,economy,reserve,0.8249869507709144,0.8249869507709144
17,1,economy,other-rare,6.912851438621044,6.912851438621044
17,2,delivery,beam,-2.012212110708141,2.012212110708141
17,3,geometry,dash_attack,-1.921357874199014,1.921357874199014
17,4,function,expose,1.6803699856253655,1.6803699856253655
17,5,geometry,whirlwind,1.4973628167824917,1.4973628167824917
17,6,economy,finite,1.0922814142350545,1.0922814142350545
17,7,function,other-rare,-0.8741028178519983,0.8741028178519983
17,8,geometry,other-rare,-0.8151338920734674,0.8151338920734674
17,9,function,stun,0.7536657052531797,0.7536657052531797
17,10,defense,absorb,-0.6983711883306826,0.6983711883306826
17,11,geometry,vortex_pull,0.6752509348048157,0.6752509348048157
17,12,delivery,other-rare,-0.6531770016286241,0.6531770016286241
