track_c_run,season_id,seed,class_id,dominant_element,archetype_tag,kit_size,damage_role_frac,defensive_role_frac,final_modifier,swarm_wr,magic_wr,elite_wr,mini_boss_wr,boss_wr,convergence_status,recompose_outcome,floor_lock_recompose,wall_time_s,pattern_a
TC-1,season_200001,200001,class_0001,water,water_mage,11,0.36,0.18,0.2575,1.0,1.0,0.58,0.0,0.0,partially-converged,primary_loop_converged,False,39.5,YES
TC-1,season_200001,200001,class_0002,fire,fire_mage,11,0.64,0.09,0.1028,1.0,1.0,0.43,0.0,0.0,partially-converged,primary_loop_converged,False,36.7,YES
TC-1,season_200001,200001,class_0003,earth,earth_caster,11,0.55,0.18,0.1338,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,31.1,YES
TC-1,season_200001,200001,class_0004,wind,wind_controller,12,0.42,0.08,0.5050,1.0,1.0,0.495,0.0,0.0,partially-converged,primary_loop_converged,False,25.3,YES
TC-1,season_200001,200001,class_0005,lightning,lightning_controller,13,0.54,0.15,0.0719,1.0,1.0,0.47,0.0,0.0,partially-converged,primary_loop_converged,False,34.1,YES
TC-1,season_200001,200001,class_0006,holy,holy_caster,5,0.80,0.20,0.1338,1.0,1.0,0.49,0.0,0.0,partially-converged,primary_loop_converged,False,26.9,YES
TC-1,season_200001,200001,class_0007,shadow,shadow_mage,5,0.60,0.20,0.0719,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,29.4,YES
TC-1,season_200001,200001,class_0008,physical,physical_warrior,11,0.36,0.27,0.1338,1.0,1.0,0.535,0.0,0.0,partially-converged,primary_loop_converged,False,35.9,YES
TC-1,season_200001,200001,class_0009,water,water_mage,12,0.50,0.17,0.2575,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,35.2,YES
TC-1,season_200001,200001,class_0010,fire,fire_controller,13,0.31,0.08,0.5669,1.0,1.0,0.475,0.0,0.0,partially-converged,primary_loop_converged,False,19.8,YES
TC-1,season_200001,200001,class_0011,earth,experimental,8,0.50,0.00,0.1338,1.0,1.0,0.5,0.0,0.0,partially-converged,skipped_experimental,None,8.5,YES
TC-2,season_200002,200002,class_0012,earth,earth_controller,12,0.50,0.08,0.5050,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,36.5,YES
TC-2,season_200002,200002,class_0013,fire,fire_mage,11,0.55,0.18,0.0719,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,43.8,YES
TC-2,season_200002,200002,class_0014,water,water_mage,11,0.73,0.18,0.1338,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,37.5,YES
TC-2,season_200002,200002,class_0015,wind,wind_caster,11,0.64,0.09,0.1338,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,42.7,YES
TC-2,season_200002,200002,class_0016,lightning,lightning_controller,13,0.38,0.23,0.1338,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,40.1,YES
TC-2,season_200002,200002,class_0017,holy,holy_controller,6,0.33,0.00,0.5050,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,29.7,YES
TC-2,season_200002,200002,class_0018,shadow,shadow_mage,5,0.80,0.20,0.1338,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,28.7,YES
TC-2,season_200002,200002,class_0019,physical,hunter,13,0.46,0.23,1.0000,0.7617,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,35.9,YES
TC-2,season_200002,200002,class_0020,earth,earth_caster,11,0.45,0.27,0.1338,1.0,1.0,0.51,0.0,0.0,partially-converged,primary_loop_converged,False,41.9,YES
TC-2,season_200002,200002,class_0021,fire,fire_mage,11,0.55,0.36,0.0719,1.0,1.0,0.5,0.0,0.0,partially-converged,primary_loop_converged,False,19.8,YES
TC-2,season_200002,200002,class_0022,water,experimental,12,0.42,0.25,0.1338,1.0,1.0,0.5,0.0,0.0,partially-converged,skipped_experimental,None,8.5,YES
